direccion,distrito,metraje,dormitorios,precio
LAS CANTUTAS 344/ 980804708,"Santiago de Surco, Lima",504 m² tot.,3 dorm.,"S/ 11,840 · USD 395,000"
2 de Mayo 1875,"Country Club, San Isidro",155 m² tot.,2 dorm.,"S/ 6,890 · USD 1,850"
SAN IGNACIO DE LOYOLA 255 - 502,"Armendariz, Miraflores",155 m² tot.,3 dorm.,"S/ 5,900 · USD 1,550"
CERCA AL PARQUE PEDRO RUIZ GALLO,"Lince, Lima",35 m² tot.,1 dorm.,S/ 900
Av . bolognesi,"Cercado De Yanahuara, Yanahuara",240 m² tot.,4 dorm.,"S/ 5,000 · USD 1,320"
Calle La Cascada,"El Agustino, Lima",90 m² tot.,3 dorm.,"S/ 1,200"
ALFREDO LEÓN 137,"Miraflores, Lima",90 m² tot.,3 dorm.,"S/ 4,070 · USD 1,100"
"Batalla de San Juan, Santiago de Surco","Santiago de Surco, Lima",53 m² tot.,1 dorm.,"S/ 1,500 · USD 395"
Av. Alberto del Campo 468,"San Isidro, Lima",50 m² tot.,1 dorm.,"S/ 2,350 · USD 626"
República del Líbano 145,"Monterrico Chico, Santiago de Surco",45 m² tot.,1 dorm.,"S/ 1,900"
Pastor Sevilla,"Chorrillos, Lima",279 m² tot.,3 dorm.,"S/ 5,550 · USD 1,500"
Av. Brasil,"Magdalena, Lima",115 m² tot.,2 dorm.,"S/ 2,299 · USD 550"
"Km 42, Carretera Central","Ricardo Palma, Huarochirí",11772 m² tot.,7 dorm.,"S/ 22,800 · USD 950,000"
Cerros de Camacho 1050,"La Molina, Lima",485 m² tot.,5 dorm.,"S/ 13,320 · USD 3,600"
Plaza de la Bandera,"San Martin, Pueblo Libre",57 m² tot.,1 dorm.,"S/ 1,400"
Jiron Martinto 200,"Barranco, Lima",64 m² tot.,2 dorm.,"S/ 3,420 · USD 900"
MALECON GRAU 543-9XX. FRENTE AL MAR,"Chorrillos, Lima",400 m² tot.,3 dorm.,"S/ 4,927 · USD 1,300"
el oasis,"Ica, Ica",80 m² tot.,2 dorm.,"S/ 1,600 · USD 423"
Av Camino Real 791 octavo piso San Isidro,"Golf, San Isidro",120 m² tot.,2 dorm.,"S/ 4,810 · USD 1,300"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
CALLE LIBERTAD 116,"Miraflores, Lima",70 m² tot.,1 dorm.,"S/ 1,820 · USD 520"
Calle GUALBERTO GUEVARA 420 CERCADO,"Chacra Rios, Lima Cercado",162 m² tot.,3 dorm.,"S/ 2,100"
paseo de la republica 6190,"Miraflores, Lima",121 m² tot.,3 dorm.,"S/ 4,800 · USD 254,000"
NULL,NULL,NULL,NULL,NULL
Alameda del corregidor 2600,"La Molina, Lima",65 m² tot.,2 dorm.,"S/ 1,450"
LLANO ZAPATA 1XX,"San Isidro, Lima",150 m² tot.,3 dorm.,"S/ 2,950 · USD 800"
señorial,"Señorial, Cayma",169 m² tot.,4 dorm.,"S/ 3,000 · USD 791"
NULL,NULL,NULL,NULL,NULL
av 28 de julio 895,"Las Piedritas, Miraflores",70 m² tot.,2 dorm.,"S/ 2,850 · USD 750"
Av. El Sol 161,"Confraternidad, Barranco",42 m² tot.,1 dorm.,"S/ 1,900"
malecon cisneros 1268,"Miraflores, Lima",205 m² tot.,3 dorm.,"S/ 8,117 · USD 2,200"
martin napanga,"Miraflores, Lima",160 m² tot.,3 dorm.,"S/ 3,420 · USD 900"
Calle Libertadores 300 San Isidro,"San Isidro, Lima",130 m² tot.,2 dorm.,"S/ 4,960 · USD 1,299"
Av. República de Chile Cdra,"Jesús María, Lima",57 m² tot.,2 dorm.,"S/ 2,400"
ramadal 179,"Santiago de Surco, Lima",400 m² tot.,4 dorm.,"S/ 8,300 · USD 2,200"
Av San Martín 207,"Barranco, Lima",30 m² tot.,1 dorm.,"S/ 1,710 · USD 450"
jiron cutervo 1818,"Breña, Lima",66 m² tot.,3 dorm.,"S/ 1,600"
calle 8 de marzo,"Villa Hiper, Comas",119 m² tot.,4 dorm.,"S/ 1,300 · USD 300"
calle piura,"Santa Cruz, Miraflores",140 m² tot.,3 dorm.,"S/ 4,900 · USD 1,300"
"Jr Manuel Ganoza, Chacarilla, Santiago de Surco","Chacarilla Del Estanque, Santiago de Surco",374 m² tot.,4 dorm.,"S/ 12,000 · USD 670,000"
Calle Las Camelias 845,"San Isidro, Lima",70 m² tot.,2 dorm.,"S/ 3,420 · USD 900"
Carlos Porras Osores xxx,"Orrantia, San Isidro",387 m² tot.,3 dorm.,"S/ 13,870 · USD 780,000"
MALECON DE LA MARINA,"Miraflores, Lima",115 m² tot.,2 dorm.,"S/ 4,158 · USD 1,100"
General Varela,"Miraflores, Lima",118 m² tot.,3 dorm.,"S/ 3,700 · USD 280,000"
jiron manco segundo 165,"San Miguel, Lima",95 m² tot.,3 dorm.,"S/ 2,500"
Alcanfores,"Miraflores, Lima",63 m² tot.,2 dorm.,"S/ 2,775 · USD 150,000"
Dario Torres,"Chorrillos, Lima",90 m² tot.,1 dorm.,"S/ 3,145 · USD 850"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Calle San Vicente,"Rinconada Del Lago Etapa Ii, La Molina",382 m² tot.,3 dorm.,"S/ 7,500 · USD 1,900"
Juan Aliaga al 100,"El Polo, Santiago de Surco",135 m² tot.,3 dorm.,"S/ 3,400"
ayamanda,"Monterrico, Santiago de Surco",250 m² tot.,4 dorm.,"S/ 7,030 · USD 1,900"
NULL,NULL,NULL,NULL,NULL
Av Paseo de la República 21xx La Victoria,"Santa Catalina, La Victoria",50 m² tot.,1 dorm.,"S/ 1,800"
Francesco Redi 204,"San Borja, Lima",100 m² tot.,2 dorm.,"S/ 2,500"
Av. Brasil al 900,"Jesús María, Lima",69 m² tot.,3 dorm.,"S/ 2,400"
NULL,NULL,NULL,NULL,NULL
Av Nicolas de Aranibar 661,"Santa Beatriz, Lima Cercado",89 m² tot.,3 dorm.,"S/ 2,200 · USD 143,000"
Av Canaval y Moreyra 425,"San Isidro, Lima",55 m² tot.,1 dorm.,"S/ 2,600"
ALFA ESCORPION 1,"Surquillo, Lima",98 m² tot.,3 dorm.,"S/ 2,750 · USD 172,000"
ERNESTO PLACENCIA 1,"San Isidro, Lima",90 m² tot.,2 dorm.,"S/ 2,600 · USD 700"
Av república de Panamá 4077,"Surquillo, Lima",48 m² tot.,1 dorm.,"S/ 2,000"
Pedro de Osma 307 Barranco,"Barranco, Lima",45 m² tot.,1 dorm.,"S/ 2,375 · USD 630"
cobian,"Alfonso Cobian, Chaclacayo",510 m² tot.,7 dorm.,"S/ 2,950"
Av Paseo de la Republica 5263,"Miraflores, Lima",120 m² tot.,3 dorm.,"S/ 3,700 · USD 1,000"
Calle MAIZAL -,"Monterrico, Santiago de Surco",70 m² tot.,2 dorm.,"S/ 1,905 · USD 500"
Av. A Los Cerezos Club Residencial 415,"Comas, Lima",73 m² tot.,3 dorm.,"S/ 1,150"
URB EL GOLF,"Victor Larco Herrera, Trujillo",156 m² tot.,3 dorm.,"S/ 4,500 · USD 210,000"
Pasaje BRESCIANI 153,"Barranco, Lima",320 m² tot.,4 dorm.,"S/ 14,760 · USD 4,000"
"Intisuyo 289, San Miguel","San Miguel, Lima",89 m² tot.,2 dorm.,"S/ 2,000 · USD 534"
"calle las orquideas, lince","Lince, Lima",94 m² tot.,2 dorm.,"S/ 2,960 · USD 800"
"Calle Arica 934, miraflores","Fuerte Arica, Miraflores",100 m² tot.,2 dorm.,"S/ 3,800 · USD 1,000"
Urbanización aurora Miraflores,"Aurora, Miraflores",80 m² tot.,1 dorm.,"S/ 2,400 · USD 650"
GONZALES PRADA 700,"Magdalena, Lima",33 m² tot.,1 dorm.,"S/ 1,700 · USD 460"
Malecon de la reserva 717,"Miraflores, Lima",210 m² tot.,3 dorm.,"S/ 7,800 · USD 2,800"
PASEO DE LA REPUBLICA,"Tejada Alta, Barranco",65 m² tot.,2 dorm.,"S/ 2,400 · USD 650"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Monte Carmelo,"Chacarilla Del Estanque, Santiago de Surco",270 m² tot.,3 dorm.,"S/ 8,130 · USD 435,000"
ALT CDRA 24 DE AV CAMINOS DEL INCA,"Santiago de Surco, Lima",30 m² tot.,1 dorm.,"S/ 1,100"
Salaverry,"San Isidro, Lima",285 m² tot.,3 dorm.,"S/ 7,400 · USD 2,000"
NULL,NULL,NULL,NULL,NULL
costanera,"La Perla Alta, La Perla",60 m² tot.,3 dorm.,"S/ 1,800 · USD 450"
General Varela,"Miraflores, Lima",119 m² tot.,2 dorm.,"S/ 3,800 · USD 1,000"
Basadre 607,"El Rosario, San Isidro",50 m² tot.,1 dorm.,"S/ 1,700 · USD 450"
NULL,NULL,NULL,NULL,NULL
AV. JOSE PARDO,"Miraflores, Lima",103 m² tot.,2 dorm.,"S/ 4,103 · USD 1,100"
Av. Las Gaviotas 246,"Chorrillos, Lima",70 m² tot.,3 dorm.,"S/ 2,000 · USD 526"
Leon Velarde 631,"Lobaton, Lince",100 m² tot.,3 dorm.,"S/ 2,500"
CERCA A LA AVENIDA BOLIVAR,"Pueblo Libre, Lima",70 m² tot.,2 dorm.,"S/ 1,500"
Quiroga,"Higuereta, Santiago de Surco",80 m² tot.,2 dorm.,"S/ 3,330 · USD 900"
Malecón Cisneros al 300,"Miraflores, Lima",304 m² tot.,4 dorm.,"S/ 13,300 · USD 3,500"
Pasaje Central 135,"Lince, Lima",151 m² tot.,3 dorm.,"S/ 3,400 · USD 909"
COLLASUYO,"Cusco, Cusco",85 m² tot.,3 dorm.,"S/ 2,000"
Calle Tangarara F51,"La Capullana, Santiago de Surco",35 m² tot.,1 dorm.,"S/ 1,600"
Calle ALAMEDA DE LA MOLINA VIEJA 231,"La Molina Vieja, La Molina",1000 m² tot.,4 dorm.,"S/ 15,910 · USD 3,800"
"CAMILO SAINT SAENZ, URB. SAN FERNANDO, TRUJILLO","Mochica, Trujillo",100 m² tot.,2 dorm.,"S/ 1,200 · USD 325"
Piedra Santa,"Piedra Santa, Yanahuara",115 m² tot.,3 dorm.,"S/ 2,000 · USD 525"
av huaylas 790,"Cesar Vallejo, Chorrillos",90 m² tot.,3 dorm.,"S/ 1,800 · USD 484"
AVENIDA LOS ALISOS & AVENIDA LOS PLATINOS,"San Martín de Porres, Lima",148 m² tot.,4 dorm.,"S/ 1,800 · USD 480"
Miraflores,"Miraflores, Lima",70 m² tot.,1 dorm.,"S/ 2,600 · USD 700"
AV. INSURGENTES CON AV. PRECURSORES,"La Perla, Callao",140 m² tot.,4 dorm.,"S/ 1,700 · USD 460"
Av. Haya de la torre 122,"La Perla, La Perla",100 m² tot.,3 dorm.,"S/ 1,800"
Vanderghen,"Santa Cruz, Miraflores",250 m² tot.,NULL,"S/ 16,650 · USD 999,000"
"URB. SANTA EDELMIRA, TRUJILLO","Santa Edelmira, Victor Larco Herrera",116 m² tot.,3 dorm.,"S/ 3,000"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
JIRON LUIS MONTERO 2800- Urb Elio,"Elio, Lima Cercado",115 m² tot.,2 dorm.,"S/ 1,800"
Jr. Federico Gallese Taricchi 130,"San Miguel, Lima",136 m² tot.,5 dorm.,"S/ 7,399 · USD 1,949"
Manuel Salazar al 100,"San Isidro, Lima",370 m² tot.,5 dorm.,"S/ 9,024 · USD 2,400"
NULL,NULL,NULL,NULL,NULL
Av. Manuel Cipriano Dulanto 2118,"Pueblo Libre, Lima",40 m² tot.,1 dorm.,"S/ 1,550"
"URB. CALIFORNIA, TRUJILLO","California, Victor Larco Herrera",115 m² tot.,2 dorm.,"S/ 3,800 · USD 1,000"
MALECON CISNEROS,"Miraflores, Lima",236 m² tot.,3 dorm.,"S/ 12,096 · USD 3,200"
NULL,NULL,NULL,NULL,NULL
la aurora,"Aurora, Miraflores",320 m² tot.,3 dorm.,"S/ 6,000 · USD 1,600"
Calle Emily car,"Vipep, Surquillo",180 m² tot.,4 dorm.,"S/ 5,700 · USD 1,500"
SE Alquila Departamento Amoblado,"Barrio Medico, Surquillo",NULL,3 dorm.,"S/ 2,600 · USD 700"
Ramon Zavala cuadra 3,"Miraflores, Lima",70 m² tot.,2 dorm.,"S/ 2,400 · USD 632"
Avenida Velasco Astete y Nazarenas,"Las Gardenias, Santiago de Surco",98 m² tot.,3 dorm.,"S/ 2,650 · USD 710"
Juan de Arona,"San Isidro, Lima",47 m² tot.,1 dorm.,"S/ 2,750 · USD 710"
Avenida Prolongación Alcazar 300,"Rímac, Lima",60 m² tot.,2 dorm.,"S/ 1,350"
Calle NN2 y Calle /,"Pueblo Libre, Lima",39 m² tot.,1 dorm.,"S/ 1,800"
Av. Precursores 710 Surco,"Santiago de Surco, Lima",500 m² tot.,5 dorm.,"S/ 13,875 · USD 3,700"
Dirección no informada,"Neptuno, Santiago de Surco",150 m² tot.,3 dorm.,"S/ 4,823 · USD 1,300"
Calle Matamoros 124,"San Borja, Lima",137 m² tot.,3 dorm.,"S/ 4,255 · USD 1,150"
Av. Jose Pardo,"Miraflores, Lima",84 m² tot.,2 dorm.,"S/ 3,560 · USD 950"
Av. Jose Pardo 935,"Miraflores, Lima",120 m² tot.,3 dorm.,"S/ 4,560 · USD 1,200"
mariano cornejo 1800,"Lima Cercado, Lima",54 m² tot.,2 dorm.,"S/ 1,800"
"Av marañón, san martin de porres","Los Olivos, Lima",75 m² tot.,2 dorm.,S/ 900
AV CAMINO REAL,"San Isidro, Lima",150 m² tot.,3 dorm.,"S/ 4,100 · USD 1,100"
Loma Negra,"Prolongacion Benavides, Santiago de Surco",90 m² tot.,2 dorm.,"S/ 2,100 · USD 550"
Carlos Arrieta 289,"Barranco, Lima",62 m² tot.,2 dorm.,"S/ 3,300 · USD 890"
Av. Los Patriotas 4xx,"Maranga, San Miguel",73 m² tot.,3 dorm.,"S/ 1,900 · USD 500"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
ALAMEDA SAN MARCOS 340 VILLA CHORRILLOS,"Los Cedros De Villa, Chorrillos",40 m² tot.,1 dorm.,"S/ 1,300"
Republica del Libano 145,"Monterrico Chico, Santiago de Surco",60 m² tot.,2 dorm.,"S/ 2,200"
Jirón Domeyer 128,"Barranco, Lima",89 m² tot.,2 dorm.,"S/ 2,660 · USD 700"
NULL,NULL,NULL,NULL,NULL
Calle Venecia,"Jose Balta, Miraflores",60 m² tot.,1 dorm.,"S/ 2,650"
calle Tucto cocha,"Cieneguilla, Cieneguilla",1058 m² tot.,4 dorm.,"S/ 2,500"
Av. Arequipa 3765,"San Isidro, Lima",166 m² tot.,2 dorm.,"S/ 5,890 · USD 260,000"
NULL,NULL,NULL,NULL,NULL
av. arequipa 1390,"Santa Beatriz, Lima Cercado",75 m² tot.,3 dorm.,"S/ 2,400 · USD 630"
LOS DIAMANTES 333,"Los Olivos, Lima",98 m² tot.,3 dorm.,"S/ 1,300"
CALLE PORTA 107,"Miraflores, Lima",117 m² tot.,3 dorm.,"S/ 3,400 · USD 850"
SERGIO BERNALES 599,"Miraflores, Lima",84 m² tot.,2 dorm.,"S/ 2,500 · USD 700"
"Av. San Pedro de Choque 392, Carabayllo","Carabayllo, Lima",70 m² tot.,3 dorm.,S/ 700 · USD 190
Calle Ureta,"Santa Cruz, Miraflores",130 m² tot.,2 dorm.,"S/ 3,330 · USD 900"
Av. Salaverry Cdra,"Jesús María, Lima",59 m² tot.,2 dorm.,"S/ 2,800"
AV BRASIL 1466,"Pueblo Libre, Lima",46 m² tot.,1 dorm.,"S/ 1,700"
JACINTO LARA,"San Isidro, Lima",460 m² tot.,4 dorm.,"S/ 18,900 · USD 5,000"
Dirección no informada,"Liguria, Santiago de Surco",96 m² tot.,2 dorm.,"S/ 3,300 · USD 900"
JAVIER PRADO OESTE 1266,"San Isidro, Lima",81 m² tot.,1 dorm.,"S/ 4,180 · USD 1,100"
Jr Manoa,"Breña, Lima",55 m² tot.,2 dorm.,"S/ 1,100"
Domingo Elias al 100,"Miraflores, Lima",210 m² tot.,3 dorm.,"S/ 6,900 · USD 2,000"
Avenida Bolivar 550,"Pueblo Libre, Lima",62 m² tot.,2 dorm.,"S/ 2,000 · USD 526"
Urb. Valle Hermoso,"Santiago de Surco, Lima",92 m² tot.,2 dorm.,"S/ 2,700 · USD 155,000"
Parque La Amistad Juan Pablo II,"Los Robles, La Molina",67 m² tot.,2 dorm.,"S/ 1,800"
batallon libres de trujillo 188,"Santa Teresa, Santiago de Surco",1292 m² tot.,NULL,"S/ 18,500 · USD 2,300,000"
ARENALES 6 xx JESÚS MARÍA,"Jesús María, Lima",75 m² tot.,3 dorm.,"S/ 2,600"
Calle Chavin de Huantar Urb.Portales de Chavin,"San Martín de Porres, Lima",64 m² tot.,2 dorm.,S/ 600
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
CINEGUILLA LIMA,"Cieneguilla, Lima",520 m² tot.,7 dorm.,"S/ 5,999"
"Calle Marcona, Santiago de Surco","Tambo De Monterrico, Santiago de Surco",77 m² tot.,1 dorm.,"S/ 2,500"
Francia al 500,"Miraflores, Lima",118 m² tot.,3 dorm.,"S/ 2,750 · USD 750"
NULL,NULL,NULL,NULL,NULL
Condominio buona vista Surco,"Alamos De Monterrico, Santiago de Surco",111 m² tot.,4 dorm.,"S/ 3,250 · USD 885"
Los Abetos 355,"Ate Vitarte, Lima",98 m² tot.,3 dorm.,"S/ 2,600 · USD 682"
pasaje lupino 110,"Santiago de Surco, Lima",130 m² tot.,3 dorm.,"S/ 3,515 · USD 950"
NULL,NULL,NULL,NULL,NULL
Calle GRIMALDO DEL SOLAR,"Leuro, Miraflores",70 m² tot.,2 dorm.,"S/ 3,366 · USD 900"
Av. La Paz,"Leuro, Miraflores",84 m² tot.,3 dorm.,"S/ 3,700 · USD 1,000"
Av. Arequipa 3060 San Isidro,"El Olivar, San Isidro",55 m² tot.,1 dorm.,"S/ 2,850 · USD 750"
Avenida Shell 644,"Miraflores, Lima",69 m² tot.,1 dorm.,"S/ 2,300 · USD 630"
CAMINO REAL - EL GOLF,"Golf, San Isidro",48 m² tot.,1 dorm.,"S/ 2,835 · USD 750"
Av Monterrico Chico 281,"Santa Teresa, Santiago de Surco",413 m² tot.,3 dorm.,"S/ 9,500 · USD 540,000"
AV. 2 DE MAYO 1297,"Orrantia, San Isidro",150 m² tot.,3 dorm.,"S/ 4,300 · USD 1,195"
Choquehuanca al 200,"San Isidro, Lima",370 m² tot.,4 dorm.,"S/ 8,000 · USD 2,200"
general cordova 775,"Miraflores, Lima",129 m² tot.,2 dorm.,"S/ 3,500"
Calle William Guzmán Espinoza 1XX,"Miraflores, Lima",38 m² tot.,1 dorm.,"S/ 1,600 · USD 425"
AV. BRASIL 836,"Breña, Lima",70 m² tot.,2 dorm.,"S/ 2,200"
Manuel tovar,"Miraflores, Lima",160 m² tot.,3 dorm.,"S/ 6,375 · USD 1,700"
Malecon Mariscal Castilla,"Barranco, Lima",254 m² tot.,3 dorm.,"S/ 8,162 · USD 2,000"
Malecón Armendáriz 1XX. Piso 10. Miraflores,"Miraflores, Lima",129 m² tot.,3 dorm.,"S/ 6,840 · USD 1,800"
calle boulevard 138,"Hogares De Monterrico Chico, Santiago de Surco",100 m² tot.,3 dorm.,"S/ 3,750 · USD 1,000"
elias chunga zapata 1810,"Maranga Etapa V, San Miguel",75 m² tot.,2 dorm.,"S/ 1,200 · USD 325"
Calles Los Sauces al 200,"San Isidro, Lima",132 m² tot.,3 dorm.,"S/ 4,092 · USD 1,100"
Tacna,"Barranco, Lima",72 m² tot.,2 dorm.,"S/ 3,200"
"Calle Revolucion 106, La Victoria","Chiclayo, Chiclayo",100 m² tot.,3 dorm.,"S/ 1,000"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
BRESCIANI,"Barranco, Lima",320 m² tot.,4 dorm.,"S/ 16,605 · USD 4,500"
calle madrid 430,"Miraflores, Lima",140 m² tot.,3 dorm.,"S/ 4,700 · USD 1,200"
La Conquista 200,"Santiago de Surco, Lima",126 m² tot.,3 dorm.,"S/ 3,290 · USD 860"
NULL,NULL,NULL,NULL,NULL
Juan roberto acebedo 907,"El Suta, Pueblo Libre",75 m² tot.,3 dorm.,"S/ 2,000 · USD 530"
22 av. iquitos,"San Eugenio, Lince",60 m² tot.,2 dorm.,"S/ 1,200"
Las Cantutas 837 Surco,"Las Casuarinas Sur, Santiago de Surco",129 m² tot.,3 dorm.,"S/ 3,800"
NULL,NULL,NULL,NULL,NULL
Calle Manco segundo 225,"San Miguel, Lima",89 m² tot.,2 dorm.,"S/ 2,250"
Avenida Brasil 1855,"Jesús María, Lima",47 m² tot.,2 dorm.,"S/ 1,700"
Jiron Huiracocha Cdra.,"Jesús María, Lima",109 m² tot.,2 dorm.,"S/ 4,100 · USD 1,100"
JR 28 de Julio al 800,"Magdalena, Lima",120 m² tot.,4 dorm.,"S/ 2,100"
av sucre pueblo libre,"Pueblo Libre, Lima",38 m² tot.,1 dorm.,"S/ 1,500"
Calle Mama Ocllo 2665,"Lobaton, Lince",75 m² tot.,2 dorm.,"S/ 2,900 · USD 750"
AV CHORRILLOS 150,"Barranco, Lima",94 m² tot.,2 dorm.,"S/ 3,200 · USD 212,000"
Av. Jose Santos Chocano 300,"San Joaquin, Bellavista",45 m² tot.,2 dorm.,S/ 800
"Circunv.el Golf, Casi Frente al Golf, Urb. Golf LOS Inkas.","Golf Los Incas, Santiago de Surco",260 m² tot.,4 dorm.,"S/ 7,955 · USD 2,150"
AV BAILETTI 600,"Javier Prado, San Borja",120 m² tot.,2 dorm.,"S/ 2,250"
MIRAFLORES,"Miraflores, Lima",43 m² tot.,1 dorm.,"S/ 2,625 · USD 700"
Av Los patriotas,"San Miguel, Lima",78 m² tot.,3 dorm.,"S/ 2,000 · USD 533"
Av. Alfredo Mendiola 6551,"Los Olivos, Lima",76 m² tot.,3 dorm.,"S/ 1,200 · USD 316"
teodosio parreño 260,"Barranco, Lima",64 m² tot.,2 dorm.,"S/ 3,000 · USD 789"
ROMA,"Miraflores, Lima",340 m² tot.,3 dorm.,"S/ 7,400 · USD 2,000"
Av. Arequipa 3235,"San Isidro, Lima",47 m² tot.,1 dorm.,"S/ 2,680"
Los Pinos 561 san isidro,"El Rosario, San Isidro",45 m² tot.,1 dorm.,"S/ 3,000"
libertadores 671,"San Isidro, Lima",120 m² tot.,2 dorm.,"S/ 2,900 · USD 800"
Calle MANCO CAPAC 8xx - 2xx,"Miraflores, Lima",124 m² tot.,2 dorm.,"S/ 4,572 · USD 1,200"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Sargento William Arias Robles 170,"Aurora, Miraflores",245 m² tot.,3 dorm.,"S/ 7,030 · USD 1,900"
Av. Alcanfores,"Miraflores, Lima",140 m² tot.,3 dorm.,"S/ 4,440 · USD 1,200"
Av. San José 257 - Bellavista,"Bellavista, Bellavista",300 m² tot.,9 dorm.,"S/ 14,750 · USD 3,900"
NULL,NULL,NULL,NULL,NULL
Av. Tomás Marsano 2175,"Marsano, Surquillo",54 m² tot.,1 dorm.,"S/ 2,090 · USD 570"
AV. AURELIO MIRO QUESADA 240,"Golf, San Isidro",5002 m² tot.,3 dorm.,"S/ 6,750 · USD 520,000"
Dirección no informada,"Bolognesi, Miraflores",100 m² tot.,3 dorm.,"S/ 3,300 · USD 900"
NULL,NULL,NULL,NULL,NULL
Jorge Basadre,"San Isidro, Lima",60 m² tot.,1 dorm.,"S/ 2,479 · USD 670"
CALLE ANDROMEDA,"La Campiña, Chorrillos",60 m² tot.,2 dorm.,"S/ 1,500"
Calle Enrique Pallardelli,"Jacaranda, San Borja",110 m² tot.,4 dorm.,"S/ 2,800"
Calle LA TOJA 115,"La Estancia, La Molina",1340 m² tot.,4 dorm.,"S/ 14,760 · USD 4,000"
Calle los canarios 147,"La Pradera, La Molina",905 m² tot.,5 dorm.,"S/ 15,400 · USD 1,350,000"
Avenida Circunvalación del Club Golf los Incas 148 - AMOBLADO *CERCA AL ROOSEVELT Y UNIVERSIDAD DE LIMA !!,"Golf Los Incas, Santiago de Surco",230 m² tot.,3 dorm.,"S/ 9,546 · USD 2,580"
"MALECON DE LA MARINA 9XX, DPTO 1002, MIRAFLORES","Malecon Marina, Miraflores",129 m² tot.,3 dorm.,"S/ 6,800 · USD 1,800"
Ricardo Angulo,"San Isidro, Lima",583 m² tot.,NULL,"S/ 16,880 · USD 4,500"
Santa Mariana 128,"San Miguel, Lima",73 m² tot.,3 dorm.,"S/ 1,800"
Av. buenavista 286,"Chacarilla Del Estanque, San Borja",89 m² tot.,2 dorm.,"S/ 2,700 · USD 700"
"Flora tristan 501, san isidro","Orrantia, San Isidro",129 m² tot.,3 dorm.,"S/ 4,500 · USD 205,000"
Condominio Uptown 1 padre urraca 135 San Miguel,"Santa Anita, Lima",122 m² tot.,3 dorm.,"S/ 2,800 · USD 736"
Las Dalias 170,"Leuro, Miraflores",104 m² tot.,2 dorm.,"S/ 3,330 · USD 900"
Dirección no informada,"Country Club, San Isidro",213 m² tot.,3 dorm.,"S/ 8,556 · USD 2,300"
Dirección no informada,"San Borja, Lima",300 m² tot.,5 dorm.,"S/ 7,400 · USD 2,000"
Av. Benavides 3695 Santiago de Surco,"Santiago de Surco, Lima",70 m² tot.,1 dorm.,"S/ 1,800 · USD 450"
Jr. Bolognesi,"Miraflores, Lima",101 m² tot.,3 dorm.,"S/ 4,200 · USD 1,100"
Loma Umbrosa 275,"Prolongacion Benavides, Santiago de Surco",160 m² tot.,4 dorm.,"S/ 3,000 · USD 800"
AV. ANGAMOS OESTE,"Miraflores, Lima",204 m² tot.,2 dorm.,"S/ 8,640 · USD 2,400"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Av. San Borja Sur 541,"San Borja Sur, San Borja",110 m² tot.,3 dorm.,"S/ 3,200"
"AV ALMTE GRAU 1502, BARRANCO","Barranco, Lima",37 m² tot.,1 dorm.,"S/ 2,390 · USD 630"
Av. General Jacinto Lara 450,"Santa Teresita, San Isidro",120 m² tot.,3 dorm.,"S/ 3,600 · USD 950"
NULL,NULL,NULL,NULL,NULL
CALLE GRIMALDO DEL SOLAR,"Miraflores, Lima",80 m² tot.,2 dorm.,"S/ 3,411 · USD 900"
8 AV. BOLIVAR,"Pueblo Libre, Lima",64 m² tot.,2 dorm.,"S/ 1,500"
Av. Carlos Villarán,"Santa Catalina, La Victoria",80 m² tot.,3 dorm.,"S/ 2,500 · USD 658"
NULL,NULL,NULL,NULL,NULL
Av Panamericana Sur,"San Ignacio De Monterrico, Santiago de Surco",106 m² tot.,3 dorm.,"S/ 2,900 · USD 770"
Av. Caminos del Inca 500 Santiago de Surco,"Santiago de Surco, Lima",200 m² tot.,3 dorm.,"S/ 5,000 · USD 1,350"
San Isidro,"San Isidro, Lima",61 m² tot.,2 dorm.,"S/ 2,730"
Av. Barandiaran,"La Planicie, La Molina",735 m² tot.,5 dorm.,"S/ 18,315 · USD 1,080,000"
HERMANO LOBO,"San Borja, Lima",490 m² tot.,3 dorm.,"S/ 13,608 · USD 750,000"
CALLE REPUBLICA 818,"El Olivar, San Isidro",171 m² tot.,2 dorm.,"S/ 9,541 · USD 2,500"
General Cordova 2XX,"Miraflores, Lima",126 m² tot.,3 dorm.,"S/ 7,363 · USD 1,990"
Av. Ramón Zavala y Francia Miraflores.,"Miraflores, Lima",70 m² tot.,2 dorm.,"S/ 2,630 · USD 700"
Av. Carriquiry 894,"San Isidro, Lima",62 m² tot.,2 dorm.,"S/ 3,000 · USD 800"
