tipo_de_inmueble,direccion,area_construida,area_total,pisos,dormitorios,baños,cochera,precio_soles,precio_dolares
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, La Molina",126.27,131.27,1,3,2,1,719740,194000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",104.34,137.68,1,3,2,1,426650,115000
DEPARTAMENTO PENTHOUSE EN VENTA,"Lima, Lima, San Isidro",148.09,232.0,7,3,3,1,1354150,365000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Bellavista",91.61,91.61,3,2,3,0,296800,80000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",71.0,71.0,3,2,2,0,476446,128076
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Santiago de Surco",64.0,64.0,4,3,2,0,2100,564
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Prov. Const. Del Callao, La Perla",64.56,64.56,8,3,2,1,1800,483
CASA URBANA EN ALQUILER,"Lima, Lima, San Isidro",152.0,250.0,2,3,3,1,5565,1500
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Callao",75.0,75.0,13,3,2,1,310000,83333
CASA URBANA EN VENTA,"Piura, Sechura, Sechura",108.3,109.21,1,2,1,0,200000,53763
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, La Victoria",96.0,96.0,0,3,1,0,311640,84000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Islay, Mollendo",70.0,70.0,2,3,2,1,286783,77300
DEPARTAMENTO DUPLEX EN VENTA,"Arequipa, Islay, Islay",68.0,68.0,3,3,2,1,281700,75930
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Santiago de Surco",55.0,55.0,3,1,1,0,1600,430
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Islay, Mollendo",70.0,70.0,4,3,2,1,281700,75930
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",153.12,118.0,4,2,3,0,482300,130000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Prov. Const. Del Callao, La Perla",117.53,160.0,1,3,1,1,2000,537
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Islay, Mollendo",68.0,68.0,2,3,2,1,281700,75930
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",164.77,110.75,1,3,2,2,1035090,279000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",75.8,75.8,9,3,2,0,489900,131693
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",130.1,130.1,3,2,3,2,3710,1000
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, La Victoria",100.0,170.0,2,4,2,0,278250,75000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",130.1,130.1,3,2,3,2,1113000,300000
CASA EN VENTA,"Lima, Lima, Santiago de Surco",696.0,500.0,2,0,0,0,4823000,1300000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Callao",75.0,75.0,13,3,2,1,310000,83333
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",106.85,166.1,5,2,2,2,871850,235000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",108.0,180.0,2,3,2,1,712320,192000
DEPARTAMENTO EN VENTA,"Lima, Lima, Santiago de Surco",81.9,81.9,3,3,2,0,582470,157000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",108.0,108.0,4,3,2,1,712320,192000
CASA URBANA EN VENTA,"Arequipa, Islay, Mollendo",783.14,208.0,1,6,2,0,1113000,300000
DEPARTAMENTO DUPLEX EN VENTA,"Arequipa, Arequipa, Cerro Colorado",131.92,171.64,6,3,3,1,667800,180000
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Chiclayo",172.96,276.43,2,7,4,1,367290,99000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",153.12,118.0,4,2,3,0,482300,130000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",229.0,220.0,3,0,0,0,649250,175000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Comas",83.0,83.0,1,3,1,0,211470,57000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Miraflores",80.0,80.0,0,2,2,1,3450,930
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",65.39,65.34,11,2,2,1,352450,95000
DEPARTAMENTO DUPLEX EN VENTA,"Arequipa, Islay, Islay",68.0,68.0,3,3,2,1,281700,75930
DEPARTAMENTO EN VENTA,"Lima, Lima, San Martin de Porres",122.0,104.0,2,3,2,0,366548,98800
CASA EN VENTA,"Arequipa, Arequipa, Yanahuara",200.0,157.26,2,5,2,0,1465450,395000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",63.32,53.32,4,2,1,0,352450,95000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",75.0,75.0,6,3,2,0,2800,752
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",143.0,70.0,1,2,2,0,371000,100000
CASA EN VENTA,"Arequipa, Arequipa, Yanahuara",200.0,157.26,2,5,2,0,1465450,395000
DEPARTAMENTO EN VENTA,"Lima, Lima, Santiago de Surco",195.8,195.8,0,0,0,0,1196092,322397
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, La Molina",126.27,131.27,1,3,2,1,719740,194000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Chorrillos",100.0,134.0,2,4,1,0,2000,537
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",104.34,137.68,1,3,2,1,426650,115000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",108.0,108.0,4,3,2,1,712320,192000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Miraflores",80.0,80.0,0,2,2,1,3450,930
CASA URBANA EN ALQUILER,"Lima, Lima, San Isidro",152.0,250.0,2,3,3,1,5565,1500
CASA URBANA EN ALQUILER,"Cusco, Calca, Calca",370.0,0.0,2,4,4,0,4452,1200
DEPARTAMENTO EN VENTA,"Lima, Lima, Santiago de Surco",81.9,81.9,3,3,2,0,582470,157000
CASA EN VENTA,"Lima, Lima, Santiago de Surco",696.0,500.0,2,0,0,0,4823000,1300000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Comas",72.0,72.0,7,3,2,0,900,241
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",63.32,53.32,4,2,1,0,352450,95000
CASA EN VENTA,"Lima, Lima, Villa el Salvador",63.92,63.92,2,3,2,0,445200,120000
CASA EN VENTA,"Lima, Lima, Villa el Salvador",140.0,120.0,1,3,1,0,326480,88000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, La Victoria",96.0,96.0,0,3,1,0,311640,84000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",55.0,55.0,12,2,2,0,1600,430
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",58.0,58.0,2,1,1,0,252280,68000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",54.0,54.0,6,2,1,0,230,62
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",67.02,69.82,4,2,1,0,296800,80000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",123.0,100.0,7,3,2,0,426650,115000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Santiago de Surco",64.0,64.0,4,3,2,0,2100,564
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Magdalena del Mar",100.0,199.0,7,4,4,1,960890,259000
CASA EN VENTA,"Lima, Lima, San Martin de Porres",170.0,160.0,2,0,0,0,964600,260000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Borja",157.63,194.6,3,3,2,2,1105580,298000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Chorrillos",100.0,134.0,2,4,1,0,2000,537
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Islay, Mollendo",68.0,68.0,2,3,2,1,281700,75930
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Islay, Mollendo",70.0,70.0,3,3,2,1,286783,77300
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Martin de Porres",80.0,70.0,1,2,2,0,111300,30000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Santiago de Surco",64.0,64.0,4,3,2,0,2100,564
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",77.0,99.0,1,1,2,1,3339,900
DEPARTAMENTO DUPLEX EN VENTA,"Arequipa, Islay, Islay",68.0,68.0,3,3,2,1,281700,75930
DEPARTAMENTO PENTHOUSE EN VENTA,"Lima, Lima, San Isidro",148.09,232.0,7,3,3,1,1354150,365000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",94.0,94.0,2,3,2,0,478219,128900
CASA URBANA EN VENTA,"Arequipa, Islay, Mollendo",783.14,208.0,1,6,2,0,1113000,300000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",106.74,106.74,6,3,2,1,738290,199000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Breña",69.0,69.0,4,3,1,0,218890,59000
CASA URBANA EN VENTA,"Lima, Lima, La Molina",1.0,737.66,2,6,7,6,4081000,1100000
CASA DE CAMPO EN VENTA,"Lima, Cañete, Santa Cruz de Flores",208.7,260.0,0,7,7,0,1038800,280000
CASA URBANA EN VENTA,"Lima, Lima, Miraflores",210.0,296.0,2,5,4,1,1780800,480000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Chorrillos",84.0,84.0,3,3,2,1,3153,850
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",67.0,67.0,13,2,2,0,389550,105000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Chorrillos",94.0,66.0,1,2,2,0,627732,169200
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",70.0,70.0,3,2,1,0,320000,86021
DEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Alto Selva Alegre",100.0,100.0,1,3,1,1,1300,349
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Chorrillos",84.0,84.0,2,3,2,0,560952,151200
CASA EN ALQUILER,"Piura, Piura, Piura",315.0,425.0,3,6,4,1,6000,1612
CASA DE PLAYA EN VENTA,"Lima, Cañete, Cerro Azul",333.0,150.0,1,4,4,2,779100,210000
CASA DE CAMPO EN VENTA,"Cusco, Calca, Calca",722.0,120.0,3,3,2,2,816200,220000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Martin de Porres",89.0,89.0,2,3,2,0,1000,268
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",115.25,115.25,1,3,2,1,882980,238000
DEPARTAMENTO EN VENTA,"Lima, Lima, La Molina",97.35,113.49,1,3,2,0,537950,145000
DEPARTAMENTO EN VENTA,"Lima, Lima, Barranco",40.0,40.0,2,1,1,0,333900,90000
CASA DE CAMPO EN VENTA,"Cusco, Calca, Calca",722.0,120.0,3,3,2,2,816200,220000
CASA URBANA EN VENTA,"Lima, Lima, Miraflores",210.0,296.0,2,5,4,1,1780800,480000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Martin de Porres",89.0,89.0,2,3,2,0,1000,268
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Surquillo",65.19,65.19,7,2,2,0,2000,537
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",70.0,70.0,3,2,1,0,320000,86021
MINIDEPARTAMENTO EN ALQUILER,"Lima, Lima, San Martin de Porres",10.75,10.75,2,1,1,0,420,112
CASA URBANA EN ALQUILER,"Lima, Lima, Santiago de Surco",160.0,270.0,3,7,4,3,6303,1699
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Martin de Porres",60.0,60.0,2,1,1,0,800,215
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",67.0,67.0,13,2,2,0,389550,105000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, La Molina",70.0,70.0,1,2,1,1,2411,650
CASA EN ALQUILER,"Piura, Piura, Piura",315.0,425.0,3,6,4,1,6000,1612
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Magdalena del Mar",91.42,91.42,14,3,2,1,760550,205000
DEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Yanahuara",90.0,90.0,4,3,2,1,2700,725
DEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Alto Selva Alegre",100.0,100.0,1,3,1,1,1300,349
CASA URBANA EN VENTA,"Piura, Piura, Castilla",157.4,180.86,2,4,2,2,278250,75000
CASA DE PLAYA EN VENTA,"Lima, Cañete, Cerro Azul",333.0,150.0,1,4,4,2,779100,210000
CASA URBANA EN ALQUILER,"Lambayeque, Chiclayo, La Victoria",50.0,42.0,1,2,1,1,700,188
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",63.56,63.56,2,2,1,0,176855,47670
CASA URBANA EN VENTA,"Lima, Lima, Comas",168.01,312.99,3,9,4,1,742000,200000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",68.92,68.92,3,2,1,0,191769,51690
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",63.56,63.56,3,2,1,0,176855,47670
CASA URBANA EN VENTA,"Lima, Lima, Villa el Salvador",160.0,100.0,2,2,2,1,445200,120000
CASA EN ALQUILER,"Lima, Lima, Pueblo Libre",200.0,460.0,3,7,4,1,9275,2500
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Comas",50.0,50.0,14,2,1,0,127995,34500
DEPARTAMENTO EN VENTA,"Lima, Lima, Chorrillos",75.9,75.9,1,3,2,0,340000,91397
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",145.89,145.89,1,3,2,1,433001,116712
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",68.92,68.92,2,2,1,0,191769,51690
CASA URBANA EN VENTA,"Lima, Lima, Comas",168.01,312.99,3,9,4,1,742000,200000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",85.03,85.03,9,2,2,0,900673,242116
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",74.48,84.15,1,3,2,0,389550,105000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",86.17,86.17,12,2,3,0,937343,251973
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",84.49,84.49,9,2,3,0,982805,264194
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",65.23,65.23,6,1,2,0,731694,196691
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",60.3,60.3,5,1,2,0,682083,183355
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, San Martin de Porres",109.0,109.0,3,3,2,0,408100,110000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",61.07,61.07,12,1,2,0,813230,218610
DEPARTAMENTO EN VENTA,"Lima, Lima, Miraflores",84.42,84.42,5,2,3,0,961734,258530
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Martin de Porres",152.0,152.0,4,5,2,0,408100,110000
CASA URBANA EN VENTA,"Lima, Lima, Comas",198.7,495.98,3,5,4,0,296800,80000
DEPARTAMENTO EN VENTA,"Arequipa, Arequipa, Miraflores",85.0,84.0,8,3,2,1,320000,86021
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Comas",50.0,50.0,14,2,1,0,127995,34500
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",63.56,63.56,2,2,1,0,176855,47670
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",68.92,68.92,3,2,1,0,191769,51690
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",68.92,68.92,2,2,1,0,191769,51690
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",63.56,63.56,3,2,1,0,176855,47670
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",145.89,145.89,1,3,2,1,433001,116712
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Miraflores",84.5,84.5,8,3,2,0,299000,80376
CASA URBANA EN ALQUILER,"Lima, Lima, La Molina",375.0,247.0,2,5,3,2,9275,2500
DEPARTAMENTO EN VENTA,"Lima, Lima, San Miguel",63.68,63.68,1,2,1,0,315350,85000
CASA URBANA EN VENTA,"Lima, Lima, Villa el Salvador",160.0,100.0,2,2,2,1,445200,120000
CASA URBANA EN ALQUILER,"Lambayeque, Chiclayo, La Victoria",50.0,42.0,1,2,1,1,700,188
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",128.0,88.0,2,2,2,1,389550,105000
CASA EN ALQUILER,"Lima, Lima, Pueblo Libre",200.0,460.0,3,7,4,1,9275,2500
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Los Olivos",75.0,75.0,2,2,1,0,1000,268
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",75.0,75.0,5,3,2,1,1350,362
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",68.92,68.92,3,2,1,0,191769,51690
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",68.92,68.92,2,2,1,0,191769,51690
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",74.48,84.15,1,3,2,0,389550,105000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Lurigancho",63.56,63.56,2,2,1,0,176855,47670
CASA URBANA EN VENTA,"Lima, Lima, Villa el Salvador",160.0,100.0,2,2,2,1,445200,120000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Isidro",122.0,128.0,3,2,2,0,623280,168000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",190.72,227.95,1,3,4,2,1402380,378000
CASA EN VENTA,"Arequipa, Arequipa, Yanahuara",0.0,0.0,3,5,4,1,908950,245000
DEPARTAMENTO EN VENTA,"Lima, Lima, Santiago de Surco",125.0,125.0,2,3,4,3,779100,210000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, La Perla",0.0,0.0,0,3,2,0,274400,73763
CASA URBANA EN VENTA,"Lima, Prov. Const. Del Callao, Callao",240.0,187.44,1,2,1,0,1261400,340000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",74.0,74.0,2,3,2,1,2000,537
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, La Perla",0.0,0.0,0,3,2,0,311400,83709
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Punta Negra",62.17,68.17,1,2,2,1,463750,125000
DEPARTAMENTO FLAT EN ALQUILER,"Arequipa, Arequipa, Cayma",141.9,158.0,1,3,3,1,3413,920
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Barranco",52.0,52.0,4,2,2,0,556500,150000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, La Perla",0.0,0.0,0,2,1,0,178500,47983
DEPARTAMENTO EN CONDOMINIO EN VENTA,"Lima, Lima, Comas",61.21,61.21,5,3,1,0,211099,56900
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Chiclayo",160.0,140.0,1,3,2,1,482300,130000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lima",49.9,49.9,9,2,2,0,345030,93000
CASA EN VENTA,"Lima, Lima, Carabayllo",122.0,80.0,2,4,3,1,274540,74000
CASA EN VENTA,"Lima, Lima, La Victoria",85.0,85.0,3,7,4,0,1465450,395000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",129.53,129.53,3,3,2,1,704900,190000
DEPARTAMENTO EN VENTA,"Lima, Lima, Surquillo",74.0,74.0,8,3,2,0,2300,620
CASA URBANA EN ALQUILER,"Lambayeque, Chiclayo, Chiclayo",118.36,116.0,2,4,3,1,3800,1021
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Magdalena del Mar",69.08,69.08,20,3,2,1,580000,155913
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Martin de Porres",56.0,55.0,4,2,1,0,166950,45000
DEPARTAMENTO EN VENTA,"La Libertad, Trujillo, La Esperanza",49.78,54.24,4,2,2,0,140000,37634
DEPARTAMENTO EN VENTA,"Arequipa, Arequipa, Cayma",91.45,91.45,5,2,2,2,604730,163000
CASA DE PLAYA EN ALQUILER,"La Libertad, Pacasmayo, Pacasmayo",142.0,350.0,2,5,4,1,3000,806
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Comas",72.0,72.0,11,3,2,1,275000,73924
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",65.0,65.0,5,3,2,1,417198,112150
CASA URBANA EN VENTA,"Lima, Lima, San Borja",325.91,500.65,3,9,3,4,1966300,530000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Comas",58.0,0.0,0,1,1,0,700,188
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lince",34.51,34.51,3,1,1,0,204050,55000
CASA DE PLAYA EN VENTA,"Arequipa, Camana, Samuel Pastor",200.0,330.0,3,8,8,2,686350,185000
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",179.0,300.0,3,11,6,1,1335600,360000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Los Olivos",80.0,80.0,4,2,1,0,1250,336
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",139.5,215.7,6,4,3,2,1001700,270000
DEPARTAMENTO EN VENTA,"Arequipa, Arequipa, Alto Selva Alegre",45.13,45.13,4,2,1,0,140980,38000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Martin de Porres",64.0,64.0,3,2,1,0,204050,55000
DEPARTAMENTO TRIPLEX EN ALQUILER,"Lima, Lima, San Juan de Miraflores",62.32,93.48,4,2,2,0,1300,349
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Jesus Maria",105.0,105.0,18,3,3,1,3635,980
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Borja",178.0,178.0,3,3,4,2,1168650,315000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, San Miguel",103.33,135.17,1,3,3,0,2650,712
DEPARTAMENTO EN VENTA,"Lima, Lima, Santiago de Surco",230.0,230.0,0,3,4,2,1150100,310000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cayma",91.45,91.45,2,3,2,1,619570,167000
CASA EN VENTA,"Lima, Lima, San Juan de Lurigancho",160.0,160.0,2,5,2,1,816200,220000
CASA URBANA EN VENTA,"Lima, Lima, San Borja",325.91,500.65,3,9,3,4,1966300,530000
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, La Victoria",55.01,98.32,2,4,2,0,178500,47983
DEPARTAMENTO EN VENTA,"Lima, Lima, San Martin de Porres",75.0,75.0,2,2,1,0,181790,49000
CASA URBANA EN ALQUILER,"Lima, Prov. Const. Del Callao, La Perla",69.0,56.5,1,2,1,0,1300,349
CASA DE PLAYA EN VENTA,"Lima, Cañete, Chilca",330.8,170.0,1,4,3,4,593600,160000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Los Olivos",80.0,80.0,4,2,1,0,1250,336
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Breña",80.0,80.0,0,0,0,0,367290,99000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Comas",58.0,0.0,0,1,1,0,700,188
DEPARTAMENTO EN VENTA,"Lima, Lima, Santiago de Surco",230.0,230.0,0,3,4,2,1150100,310000
CASA EN VENTA,"Tumbes, Tumbes, Tumbes",1.0,540.0,2,12,12,10,2040500,550000
DEPARTAMENTO EN VENTA,"La Libertad, Trujillo, La Esperanza",49.78,54.24,4,2,2,0,140000,37634
CASA DE PLAYA EN CONDOMINIO EN VENTA,"Lima, Cañete, Asia",123.0,52.5,3,4,3,2,630700,170000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lince",34.51,34.51,3,1,1,0,204050,55000
DEPARTAMENTO EN VENTA,"Arequipa, Arequipa, Cayma",91.45,91.45,5,2,2,2,604730,163000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",66.73,66.73,4,3,2,0,259700,70000
DEPARTAMENTO TRIPLEX EN ALQUILER,"Lima, Lima, San Juan de Miraflores",62.32,93.48,4,2,2,0,1300,349
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",71.0,71.0,6,2,2,1,367290,99000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cayma",103.0,105.0,3,3,2,0,506415,136500
CASA URBANA EN VENTA,"Arequipa, Arequipa, Miraflores",123.0,450.0,4,9,6,1,1606430,433000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",71.0,71.0,6,2,2,1,367290,99000
CASA EN VENTA,"Tumbes, Tumbes, Tumbes",1.0,540.0,2,12,12,10,2040500,550000
CASA DE PLAYA EN ALQUILER,"La Libertad, Pacasmayo, Pacasmayo",142.0,350.0,2,5,4,1,3000,806
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lince",34.51,34.51,3,1,1,0,204050,55000
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",179.0,300.0,3,11,6,1,1335600,360000
CASA DE PLAYA EN VENTA,"Arequipa, Camana, Samuel Pastor",200.0,330.0,3,8,8,2,686350,185000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lima",120.0,120.0,3,3,2,0,1800,483
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Isidro",302.25,399.06,6,3,2,3,3895500,1050000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Chorrillos",110.0,110.0,2,3,1,0,1870,502
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",110.0,85.0,1,3,2,1,779100,210000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",92.0,92.0,3,3,2,1,667800,180000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Comas",72.0,72.0,11,3,2,1,275000,73924
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",66.73,66.73,4,3,2,0,259700,70000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",92.0,92.0,2,3,2,1,667800,180000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Miguel",67.8,0.0,13,2,2,0,391405,105500
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",92.0,92.0,4,3,2,1,667800,180000
DEPARTAMENTO EN VENTA,"Arequipa, Arequipa, Miraflores",94.2,94.88,0,0,0,0,333900,90000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Comas",58.0,0.0,0,1,1,0,700,188
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",65.0,65.0,5,3,2,1,417198,112150
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Villa el Salvador",72.79,75.13,2,2,1,0,241150,65000
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",121.0,220.0,3,5,3,1,482300,130000
DEPARTAMENTO EN VENTA,"Arequipa, Arequipa, Cayma",147.2,147.2,2,3,3,1,508270,137000
