direccion,distrito,metraje,dormitorios,precio
AV. LA Republica- Cerca AL Colegio Markham,"El Derby, Santiago de Surco",117 m² tot.,3 dorm.,"S/ 889,000 · USD 239,000"
AV AREQUIPA 3330,"San Isidro, Lima",492 m² tot.,NULL,"S/ 4,292,000 · USD 1,160,000"
Av. 28 de Julio 639,"Miraflores, Lima",61 a 150 m² tot.,1 a 3 dorm.,"S/ 704,000"
"Jirón Domingo Casanova 151, Lince","Lince, Lima",40 a 79 m² tot.,1 a 3 dorm.,"S/ 339,000"
Av. Javier Prado Este 294,"Santiago de Surco, Lima",89 a 203 m² tot.,2 a 3 dorm.,"S/ 709,467"
Avenida Javier Prado Oeste 430 - 470,"San Isidro, Lima",27 a 100 m² tot.,1 a 3 dorm.,"S/ 283,978"
"Calle General La Fuente 281, San Isidro","San Isidro, Lima",83 a 219 m² tot.,1 a 3 dorm.,"S/ 926,060 · USD 243,700"
Av. Mariscal La Mar 1055 Miraflores,"Miraflores, Lima",42 a 137 m² tot.,1 a 3 dorm.,"S/ 507,000 · USD 130,000"
Jirón Batallón Callao Norte 173,"Santa Teresa, Santiago de Surco",106 a 154 m² tot.,3 dorm.,"S/ 855,711"
Av. Andrés Aramburú 668,"Surquillo, Lima",37 a 80 m² tot.,1 a 3 dorm.,"S/ 294,000"
Jr. Morro Solar 133,"Santiago de Surco, Lima",51 a 77 m² tot.,2 a 3 dorm.,"S/ 412,028"
Av El Ejercito 741,"Miraflores, Lima",60 a 142 m² tot.,1 a 3 dorm.,"S/ 489,000"
"Av. Cesar Vallejo 1445, Lince, Lima","Risso, Lince",57 a 132 m² tot.,1 a 3 dorm.,"S/ 524,000"
Calle plaza Padre Constancio Bollar 205,"San Isidro, Lima",56 a 227 m² tot.,1 a 4 dorm.,"S/ 440,000"
Calle Rosario 240 Miraflores,"Santa Cruz, Miraflores",61 a 172 m² tot.,1 a 3 dorm.,"S/ 612,150 · USD 151,050"
Santa Isabel 147,"Miraflores, Lima",80 a 286 m² tot.,1 a 3 dorm.,"S/ 770,000 · USD 200,000"
Joaquin Bernal 708 esquina con Francisco de Zela,"Risso, Lince",49 a 147 m² tot.,1 a 3 dorm.,"S/ 397,788"
Casuarinas - Excelente vista a la ciudad,"Las Casuarinas, Santiago de Surco",1140 m² tot.,4 dorm.,"S/ 6,660,000 · USD 1,800,000"
Av. Lima Polo al 200,"Lima Polo Hunt Club, Santiago de Surco",132 m² tot.,3 dorm.,"S/ 752,400 · USD 198,000"
Av velasco astete 541,"Chacarilla, San Borja",327 m² tot.,4 dorm.,"S/ 2,053,755 · USD 540,000"
AV. República DE Panamá. Surquillo. Excelente Ubicación.,"Surquillo, Lima",4500 m² tot.,NULL,Consultar precio
Av Jose Pardo al 1300,"Miraflores, Lima",113 m² tot.,3 dorm.,"S/ 900,000 · USD 240,000"
Jiron Grau al 600,"Magdalena, Lima",75 m² tot.,3 dorm.,"S/ 312,000 · USD 83,000"
