direccion,distrito,metraje,dormitorios,precio
Av. Jorge Basadre 100,"Country Club, San Isidro",490 m² tot.,4 dorm.,"S/ 2,775,000 · USD 750,000"
Avenida Pacasmayo,"Callao, Callao",136 m² tot.,4 dorm.,"S/ 293,070 · USD 79,000"
AV PEZET 600,"Golf, San Isidro",650 m² tot.,4 dorm.,"S/ 9,120,000 · USD 9,950"
Pasaje Ritter Alexander Cuadra 1 SAN Borja,"San Borja, Lima",63 m² tot.,2 dorm.,"S/ 338,550 · USD 91,500"
Calle Daniel Urrea,"Chorrillos, Lima",90 m² tot.,2 dorm.,"S/ 758,880 · USD 204,000"
Los Recuerdos,"Chacarilla, San Borja",204 m² tot.,3 dorm.,"S/ 1,350,000 · USD 365,000"
San Antonio,"San Antonio, Miraflores",320 m² tot.,4 dorm.,"S/ 3,200,000 · USD 930,000"
AV. LA Molina,"La Molina, Lima",2584 m² tot.,NULL,"S/ 37,700,000 · USD 10,000,000"
Jr. Tambo Real,"Santiago de Surco, Lima",246 m² tot.,4 dorm.,"S/ 1,334,700 · USD 350,000"
Malecón CISNEROS - MIRAFLORES,"Miraflores, Lima",190 m² tot.,3 dorm.,"S/ 1,789,650 · USD 455,000"
Conde De La Vega del Ren 400 Chacarilla Surco,"Santiago de Surco, Lima",423 m² tot.,4 dorm.,"S/ 2,224,300 · USD 590,000"
Condominio Los Nogales,"El Agustino, Lima",77 m² tot.,3 dorm.,"S/ 290,000 · USD 76,315"
Flat Remodelado | Acabados de Primera | A 2 Cuadras del Pentagonito,"San Borja Norte, San Borja",60 m² tot.,2 dorm.,"S/ 492,126 · USD 130,000"
pedro ruiz gallo,"Breña, Lima",76 m² tot.,3 dorm.,"S/ 383,520"
Calle Las Cantutas 865 & Pasaje Aralia,"Santiago de Surco, Lima",520 m² tot.,NULL,"S/ 1,500,000 · USD 390,000"
"DPTO 208M2 ,3 Dormitorios ,3 cocheras ,VISTA AL MAR ,MALECON BALTA 1070 ,","Miraflores, Lima",208 m² tot.,3 dorm.,"S/ 1,743,000 · USD 465,000"
MALECÓN BERNALES 100,"Marbella, Magdalena",90 m² tot.,2 dorm.,"S/ 818,400 · USD 220,000"
Jorge Basadre,"San Isidro, Lima",504 m² tot.,4 dorm.,"S/ 2,850,000 · USD 750,000"
Portada de La Planicie,"La Planicie, La Molina",600 m² tot.,3 dorm.,"S/ 2,886,000 · USD 780,000"
"Altura del km 65 de la Panamericana Sur, Espalda de Alimencorp","Chilca, Cañete",10000 m² tot.,NULL,"S/ 960,000 · USD 250,000"
Jirón Talambo 161,"San Miguel, San Miguel",75 m² tot.,NULL,"S/ 360,000 · USD 96,990"
av malecon de la marina,"Miraflores, Lima",78 m² tot.,2 dorm.,"S/ 750,000 · USD 200,000"
JR. PEDRO LOPEZ DE AYALA 519,"San Borja, Lima",210 m² tot.,3 dorm.,"S/ 1,184,000 · USD 320,000"
"Calle Colón 183, Miraflores","Miraflores, Lima",92 m² tot.,1 dorm.,"S/ 676,000 · USD 178,000"
"Torre III Avenida Circunvalacion Golf DE LOS Inkas Numero 206-208, Distrito Santiago DE Surco, Provincia Y Departamento Lima","Santiago de Surco, Lima",342 m² tot.,NULL,"S/ 3,882,390 · USD 1,019,000"
"SOBRE MALECON FRENTE AL MAR, 4DORM.JARDINES TERRAZA IMPRESIONANTE VISTA","Orrantia Del Mar, San Isidro",180 m² tot.,4 dorm.,"S/ 2,388,000 · USD 650,000"
Calle 5,"El Refugio, La Molina",470 m² tot.,4 dorm.,"S/ 2,660,000 · USD 700,000"
"Con Frente al Jirón Las Fresas Manzana J Lote 12 Urbanización Prolongación , Distrito de Los Olivos, Lima","Los Olivos, Lima",737 m² tot.,NULL,"S/ 2,240,260 · USD 599,000"
Vasco Nuñez de Balboa,"Miraflores, Lima",156 m² tot.,3 dorm.,"S/ 1,542,800 · USD 406,000"
Luis Pasteur al 1300,"Lince, Lima",75 m² tot.,2 dorm.,"S/ 741,000 · USD 195,000"
Av. Grau 120,"Magdalena, Lima",70 m² tot.,3 dorm.,"S/ 385,000 · USD 101,906"
Conde de la Vega al 400,"Chacarilla Del Estanque, Santiago de Surco",431 m² tot.,4 dorm.,"S/ 2,206,600 · USD 590,000"
"Calle 39 Urb Mcal Castilla, San Borja al 100","Mariscal Ramon Castilla, San Borja",232 m² tot.,4 dorm.,"S/ 1,608,321 · USD 429,000"
SAN BORJA,"San Borja Norte, San Borja",322 m² tot.,5 dorm.,"S/ 2,200,000 · USD 579,900"
Av. Buena Vista al 300,"Chacarilla Del Estanque, San Borja",645 m² tot.,NULL,"S/ 4,370,000 · USD 1,150,000"
Jiron Orejuelas - Cerca Trigal- Excelente Opcion Para tu Familia,"Santiago de Surco, Lima",118 m² tot.,3 dorm.,"S/ 604,200 · USD 159,000"
Jesus Maria,"Jesús María, Lima",62 m² tot.,3 dorm.,"S/ 485,930 · USD 127,977"
Av. Aurelio Miro Quesada 640,"Golf, San Isidro",244 m² tot.,4 dorm.,"S/ 3,724,000 · USD 980,000"
BUCARE 497,"Camacho, La Molina",866 m² tot.,6 dorm.,"S/ 3,916,150 · USD 1,100,000"
Excelente Departamento en 1er Piso en Corpac No Paga Alcabala,"Corpac, San Isidro",168 m² tot.,2 dorm.,"S/ 1,360,000 · USD 363,000"
Av. Los Ingenieros,"Santiago de Surco, Lima",125 m² tot.,3 dorm.,"S/ 678,600 · USD 180,000"
Penthouse 4 Dormitorios con Baño Incorporado Cada uno | 2 Terrazas | Cdra 3 Av Pedro Venturo,"Higuereta, Santiago de Surco",218 m² tot.,4 dorm.,"S/ 1,160,000 · USD 310,000"
"Golf Millenium, San Isidro","San Isidro, Lima",215 m² tot.,3 dorm.,"S/ 2,038,400 · USD 2,000"
A 2 Cuadras del Parque Kennedy iNO Paga Alcabala!,"Miraflores, Lima",70 m² tot.,1 dorm.,"S/ 608,000 · USD 165,000"
Calle Cayalti,"Santiago de Surco, Lima",310 m² tot.,4 dorm.,"S/ 1,900,000 · USD 500,000"
CALLE TRES MARIAS 300,"Los Granados, Santiago de Surco",470 m² tot.,5 dorm.,"S/ 3,468,900 · USD 930,000"
Condominio torres del campo,"Comas, Lima",57 m² tot.,3 dorm.,"S/ 140,600 · USD 38,000"
Jose Balta,"Jose Balta, Miraflores",82 m² tot.,3 dorm.,"S/ 782,000 · USD 206,000"
Calle Los Rosales 104,"San Miguel, Lima",52 m² tot.,1 dorm.,"S/ 245,000 · USD 65,000"
av republica de colombia 625,"San Isidro, Lima",120 m² tot.,NULL,"S/ 1,139,190 · USD 299,000"
Calle Las Mimosas 186 - Barranco,"Barranco, Lima",153 m² tot.,3 dorm.,"S/ 1,781,250 · USD 469,800"
JIRON LAS LADERAS,"Santiago de Surco, Lima",2500 m² tot.,6 dorm.,"S/ 11,780,000 · USD 3,100,000"
Calle Jorge Chávez - Cerca a Emabajada de Brasil,"Miraflores, Lima",156 m² tot.,NULL,"S/ 1,097,000 · USD 295,000"
Fogoneros 162,"San Miguel, Lima",140 m² tot.,3 dorm.,"S/ 1,193,600 · USD 320,000"
"Calle 24, 310 Dpto. 301 Urb. Mariscal Castilla San Borja","Mariscal Ramon Castilla, San Borja",194 m² tot.,3 dorm.,"S/ 1,123,460 · USD 298,000"
las dalias 173,"Ate Vitarte, Lima",98 m² tot.,3 dorm.,"S/ 370,150 · USD 105,000"
Rinconada Alta,"Rinconada Alta, La Molina",400 m² tot.,4 dorm.,"S/ 2,774,000 · USD 750,000"
Cantutas Casuarinas sur,"Las Casuarinas Sur, Santiago de Surco",420 m² tot.,4 dorm.,"S/ 1,813,000 · USD 499,990"
calle wari 172,"Santiago de Surco, Lima",180 m² tot.,5 dorm.,"S/ 1,360,000 · USD 369,000"
Calle aricota 106,"Chacarilla Del Estanque, Santiago de Surco",146 m² tot.,NULL,"S/ 1,070,100 · USD 290,000"
"Las Magnolias, Camacho","Camacho, La Molina",1000 m² tot.,4 dorm.,"S/ 5,208,000 · USD 1,400,000"
AV. CIRCUNVALACION EL GOLF LOS INCAS 148,"Golf Los Incas, Santiago de Surco",215 m² tot.,3 dorm.,"S/ 1,735,300 · USD 469,000"
"Av. Brasil Magdalena, Lima al 2900","Lima, Lima",42 m² tot.,1 dorm.,"S/ 286,000"
"Malecón Grau, Magdalena","Magdalena, Lima",85 m² tot.,2 dorm.,"S/ 711,750 · USD 195,000"
San Martin 280 Miraflores,"Miraflores, Lima",70 m² tot.,2 dorm.,"S/ 732,600 · USD 198,000"
Avenida Brasil 3740,"Magdalena, Lima",88 m² tot.,3 dorm.,"S/ 551,000 · USD 145,000"
Manet,"La Calera De La Merced, Surquillo",63 m² tot.,2 dorm.,"S/ 489,813 · USD 129,000"
"Calle 3 335 La Molina, El Refugio, La Molina","La Molina, Lima",325 m² tot.,4 dorm.,"S/ 1,927,800 · USD 510,000"
La Planicie,"La Planicie, La Molina",690 m² tot.,4 dorm.,"S/ 2,500,000 · USD 700,000"
Calle Anchorena 001,"San Isidro, Lima",146 m² tot.,3 dorm.,"S/ 1,482,250 · USD 395,000"
"CALLE DOÑA HILDA, SURCO","Los Rosales, Santiago de Surco",115 m² tot.,3 dorm.,"S/ 756,200 · USD 199,000"
"Sta.cruz De Flores, Cañete","Santa Cruz de Flores, Cañete",3473 m² tot.,NULL,"S/ 536,500 · USD 145,000"
Cerca a cruce Av. Paramonga y San Martín de Porres 15113 Perú,"Chuquitanta De San Martin De Porres, San Martín de Porres",189 m² tot.,NULL,"S/ 1,239,500 · USD 335,000"
C. El Sausal,"Camacho, La Molina",1016 m² tot.,4 dorm.,"S/ 4,070,000 · USD 1,100,000"
Jr Tacna 1350,"Magdalena, Lima",91 m² tot.,3 dorm.,"S/ 463,600 · USD 122,000"
Av. Prolongación Javier Prado Cuadra 91,"Ate Vitarte, Lima",240 m² tot.,6 dorm.,"S/ 862,500 · USD 230,000"
A la Espalda del Starbucks de Velasco Astete,"Santiago de Surco, Lima",164 m² tot.,3 dorm.,"S/ 908,000 · USD 239,000"
Calle Dante,"Surquillo, Lima",53 m² tot.,2 dorm.,"S/ 315,000 · USD 81,000"
La Planicie,"La Planicie, La Molina",900 m² tot.,4 dorm.,"S/ 3,298,000 · USD 890,000"
Carlos Graña,"San Isidro, Lima",268 m² tot.,3 dorm.,"S/ 2,356,000 · USD 620,000"
AV ALEJANDRO VELASCO ASTETE 9 SAN BORJA,"San Borja, Lima",227 m² tot.,4 dorm.,"S/ 1,413,720 · USD 378,000"
Jr. Huiracocha,"Jesús María, Lima",66 m² tot.,2 dorm.,"S/ 505,050 · USD 135,000"
PARQUE ACOSTA,"San Isidro, Lima",185 m² tot.,3 dorm.,"S/ 2,029,500 · USD 550,000"
Jr. Emilio Fernandez,"Santa Beatriz, Lima Cercado",142 m² tot.,5 dorm.,"S/ 628,680 · USD 169,000"
Manuel Olguín,"Santiago de Surco, Lima",135 m² tot.,NULL,"S/ 1,191,000 · USD 295,000"
av manuel villaran,"Miraflores, Lima",234 m² tot.,3 dorm.,"S/ 3,989,635 · USD 507,000"
MUY CERCA A ANGAMOS.,"Surquillo, Lima",53 m² tot.,2 dorm.,"S/ 250,000 · USD 66,000"
Calle Ancanfores xxx,"Miraflores, Lima",207 m² tot.,3 dorm.,"S/ 1,778,160 · USD 478,000"
Las Flores,"San Isidro, Lima",161 m² tot.,3 dorm.,"S/ 1,332,000 · USD 360,000"
Las Casuarinas | Vista Panorámica | Lujosos Acabados | Máxima Tecnología | Exclusiva Urbanización Cerrada con Seguridad 24/7,"Las Casuarinas, Santiago de Surco",200 m² tot.,3 dorm.,"S/ 1,473,500 · USD 389,000"
AV 2 DE MAYO,"Country Club, San Isidro",115 m² tot.,2 dorm.,"S/ 920,000 · USD 250,000"
"Condominio Kalua, Chilca, Cañete","Asia, Cañete",171 m² tot.,4 dorm.,"S/ 560,000 · USD 147,994"
"Manco Capac 327, Miraflores","Miraflores, Lima",72 m² tot.,2 dorm.,"S/ 584,600 · USD 158,000"
Panamericana Sur Km 335.5,"Ica, Ica",20 m² tot.,NULL,"S/ 2,701,000 · USD 730,000"
Frente al Parque Ramon Castilla | Ascensor Directo | Linsidro,"Lince, Lima",93 m² tot.,2 dorm.,"S/ 653,450 · USD 175,000"
Av. Angav. Angamos Este Miraflores,"Miraflores, Lima",1208 m² tot.,NULL,"S/ 18,850,000 · USD 5,000,000"
Calle Nevado Salcantay 431,"Ate Vitarte, Lima",59 m² tot.,2 dorm.,"S/ 367,500 · USD 98,000"
El Golf,"La Molina, Lima",599 m² tot.,5 dorm.,"S/ 3,733,150 · USD 985,000"
SANTA ISABEL (MIRAFLORES),"Miraflores, Lima",197 m² tot.,4 dorm.,"S/ 1,736,000 · USD 463,000"
CALLE LA MAR 110 SAN MIGUEL,"San Miguel, Lima",200 m² tot.,5 dorm.,"S/ 813,630 · USD 219,900"
Av. Cayetano Arenas 152,"Arequipa, Arequipa",1291 m² tot.,NULL,"S/ 3,642,030 · USD 968,625"
Calle 40,"Huertos De Manchay, Pachacamac",666 m² tot.,25 dorm.,"S/ 1,121,250 · USD 299,000"
proceres,"Santiago de Surco, Lima",129 m² tot.,5 dorm.,"S/ 950,000 · USD 249,900"
Acapulco al 500,"La Molina, Lima",340 m² tot.,4 dorm.,"S/ 2,400,000 · USD 600,000"
"Calle Bernardo Monteagudo 236, Orrantia Del Mar, Magdalena","Orrantia Del Mar, Magdalena",288 m² tot.,4 dorm.,"S/ 2,534,500 · USD 685,000"
la estancia,"La Molina, Lima",1140 m² tot.,5 dorm.,"S/ 6,939,100 · USD 2,100,000"
Manco Capac 860,"Miraflores, Lima",190 m² tot.,2 dorm.,"S/ 1,457,550 · USD 395,000"
Condominio Torre de Los Olivos,"Puerta De Pro, Los Olivos",75 m² tot.,3 dorm.,"S/ 245,000 · USD 65,000"
Bolognesi,"Miraflores, Lima",212 m² tot.,3 dorm.,"S/ 1,457,550 · USD 395,000"
"Departamento Moderno y Exclusivo Frente a Parque en ""linsidro""","Lince, Lima",67 m² tot.,2 dorm.,"S/ 486,000 · USD 128,000"
Calle Alcanfores,"Miraflores, Lima",61 m² tot.,1 dorm.,"S/ 444,624 · USD 118,000"
AV. MANUEL OLGUIN N° 745,"El Derby, Santiago de Surco",113 m² tot.,1 dorm.,"S/ 684,500 · USD 185,000"
Ca. 9 26,"Comas, Lima",120 m² tot.,NULL,"S/ 242,482 · USD 65,000"
"Urb. Ing. Larapa Grande, Av. 3 - Residencial Los Jardines, Dpto. A107, Mz B, Lote 1, Distrito de San Jeronimo, Provincia y Departamento de Cusco","Cusco, Cusco",84 m² tot.,3 dorm.,"S/ 307,800 · USD 81,000"
"CALLE COLLASUYO 299, MARANGA, SAN MIGUEL","Maranga Etapa Iv, San Miguel",58 m² tot.,1 dorm.,"S/ 448,400 · USD 118,000"
Baltazar La Torre,"Golf, San Isidro",332 m² tot.,3 dorm.,"S/ 2,700,000 · USD 727,000"
AV Canta Callao Manzana Q5 LT 13 URB PRO Quinto Sector,"Los Olivos, Los Olivos",496 m² tot.,10 dorm.,"S/ 1,971,600 · USD 530,000"
Av. Los Patriotas,"San Miguel, Lima",107 m² tot.,3 dorm.,"S/ 543,750 · USD 145,000"
Av velasco astete 265 san borja,"Mariscal Ramon Castilla, San Borja",135 m² tot.,3 dorm.,"S/ 872,000 · USD 231,000"
Olachea 4xx,"Rosedal, Miraflores",413 m² tot.,3 dorm.,"S/ 2,868,750 · USD 695,000"
AVENIDA LA MAR,"Miraflores, Lima",281 m² tot.,NULL,"S/ 2,568,750 · USD 685,000"
Calle Aster al 100,"Lima Polo Hunt, Santiago de Surco",379 m² tot.,5 dorm.,"S/ 2,208,750 · USD 589,000"
"Calle Las Madreselvas 187, Ate","Los Recaudadores, Ate Vitarte",109 m² tot.,3 dorm.,"S/ 573,000 · USD 155,000"
A Pocas Cuadras del Malecón y el Parque Kennedy,"Leuro, Miraflores",88 m² tot.,2 dorm.,"S/ 580,900 · USD 157,000"
3 Dormitorios con Baño c/u - Condominio Exclusivo de 8 Casas - Altura Cruce de Crnel Reynaldo Vivanco con Monterrico Chico,"Santiago de Surco, Lima",342 m² tot.,3 dorm.,"S/ 1,880,000 · USD 490,000"
Alameda Colonial,"Alameda Colonial, Callao",70 m² tot.,3 dorm.,"S/ 266,960 · USD 69,000"
Calle Mariano Arredondo,"Los Cipreses, Lima Cercado",131 m² tot.,4 dorm.,"S/ 525,000 · USD 139,000"
Atahualpa Alto Mz A Lote 10,"Barranca, Barranca",36723 m² tot.,NULL,S/ 168 · USD 45
Av. Circunvalación del Club Golf Los Incas 292,"Club Golf Los Incas, Santiago de Surco",77 m² tot.,3 dorm.,"S/ 555,000 · USD 150,000"
Av. Velasco Astete,"Chacarilla Del Estanque, Santiago de Surco",108 m² tot.,3 dorm.,"S/ 934,800 · USD 246,000"
JIRÓN MONTE REAL 180,"Chacarilla Del Estanque, Santiago de Surco",143 m² tot.,3 dorm.,"S/ 781,200 · USD 210,000"
Malecon Armendariz,"Miraflores, Lima",195 m² tot.,3 dorm.,"S/ 1,605,000 · USD 428,000"
TERRENO 160M2 AL FRENTE DEL NIDO 130 VIDA Y ALEGRÍA,"Ventanilla, Callao",160 m² tot.,NULL,"S/ 132,000 · USD 34,000"
AVENIDA PARDO,"Miraflores, Lima",119 m² tot.,3 dorm.,"S/ 908,200 · USD 239,000"
JR CHIMUCAPAC FRENTE AL PARQUE CON TERRAZA EN PRIMER PISO,"Los Rosales, Santiago de Surco",135 m² tot.,3 dorm.,"S/ 1,159,000 · USD 305,000"
LOS NOGALES 480,"San Isidro, Lima",297 m² tot.,3 dorm.,"S/ 3,960,000 · USD 1,044,000"
prolongación la mar 463,"La Victoria, La Victoria",91 m² tot.,3 dorm.,"S/ 589,000 · USD 155,000"
Jr. República de Líbano,"Santiago de Surco, Lima",62 m² tot.,1 dorm.,"S/ 461,800"
Cristobal de Peralta al 200,"Valle Hermoso, Santiago de Surco",451 m² tot.,NULL,"S/ 2,434,000 · USD 649,000"
"Calle CANTUARIAS, Miraflores","Miraflores, Lima",53 m² tot.,NULL,"S/ 436,000 · USD 114,900"
Calle 5,"Mariscal Ramon Castilla, San Borja",146 m² tot.,3 dorm.,"S/ 1,078,800 · USD 290,000"
Av.universitaria al 2000,"Pando, San Miguel",67 m² tot.,3 dorm.,"S/ 353,400 · USD 93,000"
ALTURA DE LA HUACA LA CALERA HERMOSO DEPA DE 3HAB CON BALCON VISTA A LA CALLE,"La Calera De Monterrico, Surquillo",85 m² tot.,3 dorm.,"S/ 556,875 · USD 148,500"
Golf LA Planicie,"La Planicie, La Molina",2000 m² tot.,4 dorm.,"S/ 4,070,000 · USD 1,100,000"
AV SALAVERRY 1850,"Jesús María, Lima",84 m² tot.,3 dorm.,"S/ 593,000 · USD 158,000"
AV COSTANERA FRENTE DIRECTO AL MAR,"San Miguel, Lima",85 m² tot.,3 dorm.,"S/ 536,200 · USD 152,000"
Av. San Borja Norte,"San Borja, Lima",120 m² tot.,3 dorm.,"S/ 784,000 · USD 212,000"
jr. Manuel Rocavero 139,"Las Brisas, Lima Cercado",140 m² tot.,4 dorm.,"S/ 485,000 · USD 130,000"
Alberto Chabrier,"San Isidro, Lima",512 m² tot.,4 dorm.,"S/ 5,700,000 · USD 1,500,000"
Flora Tristan,"San Isidro, Lima",127 m² tot.,3 dorm.,"S/ 758,500 · USD 205,000"
Los Nogales,"San Isidro, Lima",397 m² tot.,3 dorm.,"S/ 3,315,970 · USD 889,000"
"Venta Dpto 70m2, 2 Dormitorios, 1 Cochera -LA Calera, Surquillo!!!","La Calera, Surquillo",70 m² tot.,2 dorm.,"S/ 461,160 · USD 122,000"
Av. Los Precursores al 600,"Santiago de Surco, Lima",157 m² tot.,3 dorm.,"S/ 1,234,200 · USD 330,000"
Frente al Pentagonito Entre V. Astete y B. Cavalier | Terraza Grande | Sala y Dormitorios Espaciosos,"Chacarilla Del Estanque, San Borja",272 m² tot.,4 dorm.,"S/ 1,626,240 · USD 440,000"
SAN BORJA,"San Borja Sur, San Borja",325 m² tot.,5 dorm.,"S/ 2,052,000 · USD 539,900"
El Derby,"El Derby, Santiago de Surco",388 m² tot.,4 dorm.,"S/ 1,998,000 · USD 540,000"
"Calle 9 Muy Cerca a Pentagonito y Accesos Rápidos a Jv Prado, Panam. Sur y Derby.","San Borja, Lima",149 m² tot.,3 dorm.,"S/ 1,113,400 · USD 300,000"
Av de las Artes Norte,"San Borja, Lima",337 m² tot.,NULL,"S/ 1,961,000 · USD 530,000"
Av. Luis Felipe de las Casas sector 3,"Cieneguilla, Lima",5200 m² tot.,9 dorm.,"S/ 5,200,000 · USD 1,400,000"
El Sol Oeste,"Barranco, Lima",73 m² tot.,2 dorm.,"S/ 627,144 · USD 168,000"
Moderna Ofina con Hermosa Vista al Parque Reducto Cerca a Alicorp,"Leuro, Miraflores",105 m² tot.,NULL,"S/ 950,000 · USD 250,000"
Av Manuel Villavicencio al 1300,"Lima, Lima",58 m² tot.,1 dorm.,"S/ 505,920 · USD 136,000"
Av. Aurelio Miró Quesada al 900,"Country Club, San Isidro",216 m² tot.,3 dorm.,"S/ 1,845,000 · USD 550,000"
Circunvalación Golf Los Incas 2,"Golf Los Incas, Santiago de Surco",136 m² tot.,6 dorm.,"S/ 1,443,000 · USD 390,000"
Jr. Junín 172,"Miraflores, Lima",600 m² tot.,NULL,"S/ 5,920,000 · USD 1,600,000"
Conquistadores,"San Isidro, Lima",90 m² tot.,2 dorm.,"S/ 684,000 · USD 180,000"
"Dúplex Penthouse Frente a Parque y Cerca a la Av. 2 de Mayo, Embajadas y La Bonbonniere","Country Club, San Isidro",423 m² tot.,3 dorm.,"S/ 1,612,500 · USD 430,000"
JIRON LOS ALAMOS 183,"El Cortijo, Santiago de Surco",376 m² tot.,4 dorm.,"S/ 3,412,000 · USD 898,000"
Ca. El Palmar 107 Salamanca de Monterrico,"Salamanca De Monterrico, Ate Vitarte",86 m² tot.,3 dorm.,"S/ 415,000 · USD 113,000"
Av Jorge Basadre al 1200,"San Isidro, Lima",236 m² tot.,3 dorm.,"S/ 2,062,500 · USD 550,000"
calle cadiz 320,"La Molina, Lima",160 m² tot.,5 dorm.,"S/ 1,221,000 · USD 330,000"
Departamento de 3 Dormitorios en Lince Cerca al Cruce de Av. Javier Prado con Av. Arequipa,"Lince, Lima",74 m² tot.,3 dorm.,"S/ 628,000 · USD 169,800"
Departamento de 2 Dormitorios en Pueblo Libre Parque Granada,"Pueblo Libre, Lima",59 m² tot.,2 dorm.,"S/ 424,000 · USD 115,000"
Calle 2 El Refugio La Molina,"La Molina, Lima",321 m² tot.,4 dorm.,"S/ 1,893,750 · USD 505,000"
Sergio Bernales al 200,"Surquillo, Lima",92 m² tot.,3 dorm.,"S/ 518,470 · USD 139,000"
Av. JOSE DE LA RIVA AGÜERO NRO. 400,"Pando Etapa Iv, San Miguel",82 m² tot.,3 dorm.,"S/ 467,400 · USD 123,000"
JIRON MANUEL MONTERO ROSAS 396,"San Juan de Miraflores, Lima",65 m² tot.,3 dorm.,"S/ 250,000 · USD 66,000"
JR CERROS DE CAMACHO 100,"Cerros De Camacho, Santiago de Surco",230 m² tot.,3 dorm.,"S/ 1,656,000 · USD 450,000"
Calle Panamá,"Santa Rosa, San Martín de Porres",120 m² tot.,3 dorm.,"S/ 316,200 · USD 85,000"
Jirón Aguarico,"Breña, Lima",247 m² tot.,6 dorm.,"S/ 1,067,200 · USD 290,000"
AV Bertolotto 100 SAN Miguel,"San Miguel, Lima",86 m² tot.,3 dorm.,"S/ 553,520 · USD 148,000"
Salvador Gutierrez 737,"Miraflores, Lima",107 m² tot.,2 dorm.,"S/ 750,000 · USD 199,000"
LA MOLINA VIEJA,"La Molina, Lima",466 m² tot.,4 dorm.,"S/ 3,603,800 · USD 890,000"
Jirón Huiracocha al 1700,"Jesús María, Lima",143 m² tot.,NULL,"S/ 790,000 · USD 209,900"
"AV.PROLONGACION AYACUCHO SAN MIGUEL, 1ER.PISO EN CONDOMINIO 3DORM.","Los Jardines De La Marina, San Miguel",86 m² tot.,3 dorm.,"S/ 282,000 · USD 75,000"
Calle Pablo Arguedas 1349,"Lima Cercado, Lima",157 m² tot.,NULL,"S/ 787,500 · USD 210,000"
"Av. Larco 730, Miraflores","Leuro, Miraflores",120 m² tot.,2 dorm.,"S/ 752,340 · USD 200,000"
Los Huertos de Cieneguilla,"Los Huertos De Cieneguilla, Cieneguilla",320 m² tot.,5 dorm.,"S/ 1,469,400 · USD 395,000"
República de Portugal,"Breña, Lima",681 m² tot.,6 dorm.,"S/ 3,363,000 · USD 885,000"
Malecón Armendariz,"Miraflores, Lima",230 m² tot.,3 dorm.,"S/ 2,030,000 · USD 550,000"
Av. Republica de portugal 245 breña,"Breña, Lima",435 m² tot.,NULL,"S/ 1,058,000 · USD 280,000"
Tambo de Monterrico,"Tambo De Monterrico, Santiago de Surco",146 m² tot.,3 dorm.,"S/ 980,000 · USD 269,000"
AV. SAN MARTIN 755,"Barranco, Lima",54 m² tot.,1 dorm.,"S/ 456,000 · USD 120,000"
Mayorazgo Jr. Gerona 350,"Mayorazgo, Ate Vitarte",105 m² tot.,3 dorm.,"S/ 450,000 · USD 120,000"
CALLE 29,"Mariscal Ramon Castilla, San Borja",453 m² tot.,6 dorm.,"S/ 2,662,000 · USD 689,990"
Malecón DE LA Reserva al 200,"Miraflores, Lima",130 m² tot.,2 dorm.,"S/ 1,080,000 · USD 290,000"
La Planicie,"La Planicie, La Molina",700 m² tot.,4 dorm.,"S/ 3,996,000 · USD 1,080,000"
"Malecon de la Reserva 1029, Esquina con Calle San Ignacio de Loyola","Armendariz, Miraflores",216 m² tot.,3 dorm.,"S/ 2,364,300 · USD 639,000"
Julian Arias Araguez,"Miraflores, Lima",116 m² tot.,3 dorm.,"S/ 783,750 · USD 209,000"
MANUEL DE FALLA 150,"San Borja Norte, San Borja",308 m² tot.,5 dorm.,"S/ 2,583,620 · USD 679,900"
Jr. Caracas,"Jesús María, Lima",73 m² tot.,3 dorm.,"S/ 494,300 · USD 129,900"
Calle Ortega y Gasset 284,"La Calera De La Merced, Surquillo",75 m² tot.,2 dorm.,"S/ 450,311 · USD 119,500"
MALECON PAUL HARRIS 374,"Barranco, Lima",170 m² tot.,3 dorm.,"S/ 1,609,500 · USD 435,000"
Altura Av. Ayacucho con Doña Rosa,"Los Rosales - Ampliacion Etapa Ii, Santiago de Surco",197 m² tot.,4 dorm.,"S/ 1,098,200 · USD 289,000"
Frente al Parque Ramon Castilla | Ascensor Directo | Linsidro,"San Isidro, Lima",93 m² tot.,2 dorm.,"S/ 653,450 · USD 175,000"
Calle Las Frambuesas 1,"La Fontana, La Molina",363 m² tot.,3 dorm.,"S/ 2,294,000 · USD 620,000"
Av. Buganvilla al 100,"Valle Hermoso, Santiago de Surco",238 m² tot.,4 dorm.,"S/ 1,159,400 · USD 310,000"
Calle General Silva,"Miraflores, Lima",230 m² tot.,3 dorm.,"S/ 1,596,000 · USD 420,000"
Calle Sta. Francisca Romana Cercado de Lima 8,"Lima Cercado, Lima",490 m² tot.,NULL,"S/ 2,191,080 · USD 589,000"
La Calera,"La Calera De La Merced, Surquillo",35 m² tot.,1 dorm.,"S/ 220,000 · USD 59,500"
LA ESTANCIA,"Santa Genoveva, Lurín",1948 m² tot.,6 dorm.,"S/ 4,644,000 · USD 1,290,000"
Calle El Arroyo,"La Planicie, La Molina",940 m² tot.,3 dorm.,"S/ 6,714,000 · USD 1,800,000"
JIRON MONTE CARMELO 100,"Chacarilla Del Estanque, Santiago de Surco",306 m² tot.,4 dorm.,"S/ 2,123,820 · USD 558,000"
SAN BORJA,"San Borja Norte, San Borja",300 m² tot.,4 dorm.,"S/ 2,052,000 · USD 539,900"
