direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
MUY CERCA A ANGAMOS.,"Surquillo, Lima",53 m² tot.,2 dorm.,"250,000.00","66,000.00"
Calle Ancanfores xxx,"Miraflores, Lima",207 m² tot.,3 dorm.,"1,778,160.00","478,000.00"
Las Flores,"San Isidro, Lima",161 m² tot.,3 dorm.,"1,332,000.00","360,000.00"
Las Casuarinas | Vista Panorámica | Lujosos Acabados | Máxima Tecnología | Exclusiva Urbanización Cerrada con Seguridad 24/7,"Las Casuarinas, Santiago de Surco",200 m² tot.,3 dorm.,"1,473,500.00","389,000.00"
AV 2 DE MAYO,"Country Club, San Isidro",115 m² tot.,2 dorm.,"920,000.00","250,000.00"
"Condominio Kalua, Chilca, Cañete","Asia, Cañete",171 m² tot.,4 dorm.,"560,000.00","147,994.00"
"Manco Capac 327, Miraflores","Miraflores, Lima",72 m² tot.,2 dorm.,"584,600.00","158,000.00"
Frente al Parque Ramon Castilla | Ascensor Directo | Linsidro,"Lince, Lima",93 m² tot.,2 dorm.,"653,450.00","175,000.00"
Calle Nevado Salcantay 431,"Ate Vitarte, Lima",59 m² tot.,2 dorm.,"367,500.00","98,000.00"
El Golf,"La Molina, Lima",599 m² tot.,5 dorm.,"3,733,150.00","985,000.00"
SANTA ISABEL (MIRAFLORES),"Miraflores, Lima",197 m² tot.,4 dorm.,"1,736,000.00","463,000.00"
CALLE LA MAR 110 SAN MIGUEL,"San Miguel, Lima",200 m² tot.,5 dorm.,"813,630.00","219,900.00"
Calle 40,"Huertos De Manchay, Pachacamac",666 m² tot.,25 dorm.,"1,121,250.00","299,000.00"
proceres,"Santiago de Surco, Lima",129 m² tot.,5 dorm.,"950,000.00","249,900.00"
Acapulco al 500,"La Molina, Lima",340 m² tot.,4 dorm.,"2,400,000.00","600,000.00"
"Calle Bernardo Monteagudo 236, Orrantia Del Mar, Magdalena","Orrantia Del Mar, Magdalena",288 m² tot.,4 dorm.,"2,534,500.00","685,000.00"
la estancia,"La Molina, Lima",1140 m² tot.,5 dorm.,"6,939,100.00","2,100,000.00"
Manco Capac 860,"Miraflores, Lima",190 m² tot.,2 dorm.,"1,457,550.00","395,000.00"
Condominio Torre de Los Olivos,"Puerta De Pro, Los Olivos",75 m² tot.,3 dorm.,"245,000.00","65,000.00"
Bolognesi,"Miraflores, Lima",212 m² tot.,3 dorm.,"1,457,550.00","395,000.00"
"Departamento Moderno y Exclusivo Frente a Parque en ""linsidro""","Lince, Lima",67 m² tot.,2 dorm.,"486,000.00","128,000.00"
Calle Alcanfores,"Miraflores, Lima",61 m² tot.,1 dorm.,"444,624.00","118,000.00"
AV. MANUEL OLGUIN N° 745,"El Derby, Santiago de Surco",113 m² tot.,1 dorm.,"684,500.00","185,000.00"
"Urb. Ing. Larapa Grande, Av. 3 - Residencial Los Jardines, Dpto. A107, Mz B, Lote 1, Distrito de San Jeronimo, Provincia y Departamento de Cusco","Cusco, Cusco",84 m² tot.,3 dorm.,"307,800.00","81,000.00"
"CALLE COLLASUYO 299, MARANGA, SAN MIGUEL","Maranga Etapa Iv, San Miguel",58 m² tot.,1 dorm.,"448,400.00","118,000.00"
Baltazar La Torre,"Golf, San Isidro",332 m² tot.,3 dorm.,"2,700,000.00","727,000.00"
AV Canta Callao Manzana Q5 LT 13 URB PRO Quinto Sector,"Los Olivos, Los Olivos",496 m² tot.,10 dorm.,"1,971,600.00","530,000.00"
Av. Los Patriotas,"San Miguel, Lima",107 m² tot.,3 dorm.,"543,750.00","145,000.00"
Av velasco astete 265 san borja,"Mariscal Ramon Castilla, San Borja",135 m² tot.,3 dorm.,"872,000.00","231,000.00"
Olachea 4xx,"Rosedal, Miraflores",413 m² tot.,3 dorm.,"2,868,750.00","695,000.00"
Calle Aster al 100,"Lima Polo Hunt, Santiago de Surco",379 m² tot.,5 dorm.,"2,208,750.00","589,000.00"
"Calle Las Madreselvas 187, Ate","Los Recaudadores, Ate Vitarte",109 m² tot.,3 dorm.,"573,000.00","155,000.00"
A Pocas Cuadras del Malecón y el Parque Kennedy,"Leuro, Miraflores",88 m² tot.,2 dorm.,"580,900.00","157,000.00"
3 Dormitorios con Baño c/u - Condominio Exclusivo de 8 Casas - Altura Cruce de Crnel Reynaldo Vivanco con Monterrico Chico,"Santiago de Surco, Lima",342 m² tot.,3 dorm.,"1,880,000.00","490,000.00"
Alameda Colonial,"Alameda Colonial, Callao",70 m² tot.,3 dorm.,"266,960.00","69,000.00"
Calle Mariano Arredondo,"Los Cipreses, Lima Cercado",131 m² tot.,4 dorm.,"525,000.00","139,000.00"
Av. Circunvalación del Club Golf Los Incas 292,"Club Golf Los Incas, Santiago de Surco",77 m² tot.,3 dorm.,"555,000.00","150,000.00"
Av. Velasco Astete,"Chacarilla Del Estanque, Santiago de Surco",108 m² tot.,3 dorm.,"934,800.00","246,000.00"
JIRÓN MONTE REAL 180,"Chacarilla Del Estanque, Santiago de Surco",143 m² tot.,3 dorm.,"781,200.00","210,000.00"
Malecon Armendariz,"Miraflores, Lima",195 m² tot.,3 dorm.,"1,605,000.00","428,000.00"
AVENIDA PARDO,"Miraflores, Lima",119 m² tot.,3 dorm.,"908,200.00","239,000.00"
JR CHIMUCAPAC FRENTE AL PARQUE CON TERRAZA EN PRIMER PISO,"Los Rosales, Santiago de Surco",135 m² tot.,3 dorm.,"1,159,000.00","305,000.00"
LOS NOGALES 480,"San Isidro, Lima",297 m² tot.,3 dorm.,"3,960,000.00","1,044,000.00"
prolongación la mar 463,"La Victoria, La Victoria",91 m² tot.,3 dorm.,"589,000.00","155,000.00"
Jr. República de Líbano,"Santiago de Surco, Lima",62 m² tot.,1 dorm.,"461,800.00","124,810.81"
Calle 5,"Mariscal Ramon Castilla, San Borja",146 m² tot.,3 dorm.,"1,078,800.00","290,000.00"
Av.universitaria al 2000,"Pando, San Miguel",67 m² tot.,3 dorm.,"353,400.00","93,000.00"
ALTURA DE LA HUACA LA CALERA HERMOSO DEPA DE 3HAB CON BALCON VISTA A LA CALLE,"La Calera De Monterrico, Surquillo",85 m² tot.,3 dorm.,"556,875.00","148,500.00"
Golf LA Planicie,"La Planicie, La Molina",2000 m² tot.,4 dorm.,"4,070,000.00","1,100,000.00"
AV SALAVERRY 1850,"Jesús María, Lima",84 m² tot.,3 dorm.,"593,000.00","158,000.00"
AV COSTANERA FRENTE DIRECTO AL MAR,"San Miguel, Lima",85 m² tot.,3 dorm.,"536,200.00","152,000.00"
Av. San Borja Norte,"San Borja, Lima",120 m² tot.,3 dorm.,"784,000.00","212,000.00"
jr. Manuel Rocavero 139,"Las Brisas, Lima Cercado",140 m² tot.,4 dorm.,"485,000.00","130,000.00"
Alberto Chabrier,"San Isidro, Lima",512 m² tot.,4 dorm.,"5,700,000.00","1,500,000.00"
Flora Tristan,"San Isidro, Lima",127 m² tot.,3 dorm.,"758,500.00","205,000.00"
Los Nogales,"San Isidro, Lima",397 m² tot.,3 dorm.,"3,315,970.00","889,000.00"
"Venta Dpto 70m2, 2 Dormitorios, 1 Cochera -LA Calera, Surquillo!!!","La Calera, Surquillo",70 m² tot.,2 dorm.,"461,160.00","122,000.00"
Av. Los Precursores al 600,"Santiago de Surco, Lima",157 m² tot.,3 dorm.,"1,234,200.00","330,000.00"
Frente al Pentagonito Entre V. Astete y B. Cavalier | Terraza Grande | Sala y Dormitorios Espaciosos,"Chacarilla Del Estanque, San Borja",272 m² tot.,4 dorm.,"1,626,240.00","440,000.00"
SAN BORJA,"San Borja Sur, San Borja",325 m² tot.,5 dorm.,"2,052,000.00","539,900.00"
El Derby,"El Derby, Santiago de Surco",388 m² tot.,4 dorm.,"1,998,000.00","540,000.00"
"Calle 9 Muy Cerca a Pentagonito y Accesos Rápidos a Jv Prado, Panam. Sur y Derby.","San Borja, Lima",149 m² tot.,3 dorm.,"1,113,400.00","300,000.00"
Av. Luis Felipe de las Casas sector 3,"Cieneguilla, Lima",5200 m² tot.,9 dorm.,"5,200,000.00","1,400,000.00"
El Sol Oeste,"Barranco, Lima",73 m² tot.,2 dorm.,"627,144.00","168,000.00"
Av Manuel Villavicencio al 1300,"Lima, Lima",58 m² tot.,1 dorm.,"505,920.00","136,000.00"
Av. Aurelio Miró Quesada al 900,"Country Club, San Isidro",216 m² tot.,3 dorm.,"1,845,000.00","550,000.00"
Circunvalación Golf Los Incas 2,"Golf Los Incas, Santiago de Surco",136 m² tot.,6 dorm.,"1,443,000.00","390,000.00"
Conquistadores,"San Isidro, Lima",90 m² tot.,2 dorm.,"684,000.00","180,000.00"
"Dúplex Penthouse Frente a Parque y Cerca a la Av. 2 de Mayo, Embajadas y La Bonbonniere","Country Club, San Isidro",423 m² tot.,3 dorm.,"1,612,500.00","430,000.00"
JIRON LOS ALAMOS 183,"El Cortijo, Santiago de Surco",376 m² tot.,4 dorm.,"3,412,000.00","898,000.00"
Ca. El Palmar 107 Salamanca de Monterrico,"Salamanca De Monterrico, Ate Vitarte",86 m² tot.,3 dorm.,"415,000.00","113,000.00"
Av Jorge Basadre al 1200,"San Isidro, Lima",236 m² tot.,3 dorm.,"2,062,500.00","550,000.00"
calle cadiz 320,"La Molina, Lima",160 m² tot.,5 dorm.,"1,221,000.00","330,000.00"
Departamento de 3 Dormitorios en Lince Cerca al Cruce de Av. Javier Prado con Av. Arequipa,"Lince, Lima",74 m² tot.,3 dorm.,"628,000.00","169,800.00"
Departamento de 2 Dormitorios en Pueblo Libre Parque Granada,"Pueblo Libre, Lima",59 m² tot.,2 dorm.,"424,000.00","115,000.00"
Calle 2 El Refugio La Molina,"La Molina, Lima",321 m² tot.,4 dorm.,"1,893,750.00","505,000.00"
Sergio Bernales al 200,"Surquillo, Lima",92 m² tot.,3 dorm.,"518,470.00","139,000.00"
Av. JOSE DE LA RIVA AGÜERO NRO. 400,"Pando Etapa Iv, San Miguel",82 m² tot.,3 dorm.,"467,400.00","123,000.00"
JIRON MANUEL MONTERO ROSAS 396,"San Juan de Miraflores, Lima",65 m² tot.,3 dorm.,"250,000.00","66,000.00"
JR CERROS DE CAMACHO 100,"Cerros De Camacho, Santiago de Surco",230 m² tot.,3 dorm.,"1,656,000.00","450,000.00"
Calle Panamá,"Santa Rosa, San Martín de Porres",120 m² tot.,3 dorm.,"316,200.00","85,000.00"
Jirón Aguarico,"Breña, Lima",247 m² tot.,6 dorm.,"1,067,200.00","290,000.00"
AV Bertolotto 100 SAN Miguel,"San Miguel, Lima",86 m² tot.,3 dorm.,"553,520.00","148,000.00"
Salvador Gutierrez 737,"Miraflores, Lima",107 m² tot.,2 dorm.,"750,000.00","199,000.00"
LA MOLINA VIEJA,"La Molina, Lima",466 m² tot.,4 dorm.,"3,603,800.00","890,000.00"
"AV.PROLONGACION AYACUCHO SAN MIGUEL, 1ER.PISO EN CONDOMINIO 3DORM.","Los Jardines De La Marina, San Miguel",86 m² tot.,3 dorm.,"282,000.00","75,000.00"
"Av. Larco 730, Miraflores","Leuro, Miraflores",120 m² tot.,2 dorm.,"752,340.00","200,000.00"
Los Huertos de Cieneguilla,"Los Huertos De Cieneguilla, Cieneguilla",320 m² tot.,5 dorm.,"1,469,400.00","395,000.00"
República de Portugal,"Breña, Lima",681 m² tot.,6 dorm.,"3,363,000.00","885,000.00"
Malecón Armendariz,"Miraflores, Lima",230 m² tot.,3 dorm.,"2,030,000.00","550,000.00"
Tambo de Monterrico,"Tambo De Monterrico, Santiago de Surco",146 m² tot.,3 dorm.,"980,000.00","269,000.00"
AV. SAN MARTIN 755,"Barranco, Lima",54 m² tot.,1 dorm.,"456,000.00","120,000.00"
Mayorazgo Jr. Gerona 350,"Mayorazgo, Ate Vitarte",105 m² tot.,3 dorm.,"450,000.00","120,000.00"
CALLE 29,"Mariscal Ramon Castilla, San Borja",453 m² tot.,6 dorm.,"2,662,000.00","689,990.00"
Malecón DE LA Reserva al 200,"Miraflores, Lima",130 m² tot.,2 dorm.,"1,080,000.00","290,000.00"
La Planicie,"La Planicie, La Molina",700 m² tot.,4 dorm.,"3,996,000.00","1,080,000.00"
"Malecon de la Reserva 1029, Esquina con Calle San Ignacio de Loyola","Armendariz, Miraflores",216 m² tot.,3 dorm.,"2,364,300.00","639,000.00"
Julian Arias Araguez,"Miraflores, Lima",116 m² tot.,3 dorm.,"783,750.00","209,000.00"
MANUEL DE FALLA 150,"San Borja Norte, San Borja",308 m² tot.,5 dorm.,"2,583,620.00","679,900.00"
Jr. Caracas,"Jesús María, Lima",73 m² tot.,3 dorm.,"494,300.00","129,900.00"
Calle Ortega y Gasset 284,"La Calera De La Merced, Surquillo",75 m² tot.,2 dorm.,"450,311.00","119,500.00"
MALECON PAUL HARRIS 374,"Barranco, Lima",170 m² tot.,3 dorm.,"1,609,500.00","435,000.00"
Frente al Parque Ramon Castilla | Ascensor Directo | Linsidro,"San Isidro, Lima",93 m² tot.,2 dorm.,"653,450.00","175,000.00"
Calle Las Frambuesas 1,"La Fontana, La Molina",363 m² tot.,3 dorm.,"2,294,000.00","620,000.00"
Av. Buganvilla al 100,"Valle Hermoso, Santiago de Surco",238 m² tot.,4 dorm.,"1,159,400.00","310,000.00"
Calle General Silva,"Miraflores, Lima",230 m² tot.,3 dorm.,"1,596,000.00","420,000.00"
La Calera,"La Calera De La Merced, Surquillo",35 m² tot.,1 dorm.,"220,000.00","59,500.00"
LA ESTANCIA,"Santa Genoveva, Lurín",1948 m² tot.,6 dorm.,"4,644,000.00","1,290,000.00"
Calle El Arroyo,"La Planicie, La Molina",940 m² tot.,3 dorm.,"6,714,000.00","1,800,000.00"
JIRON MONTE CARMELO 100,"Chacarilla Del Estanque, Santiago de Surco",306 m² tot.,4 dorm.,"2,123,820.00","558,000.00"
SAN BORJA,"San Borja Norte, San Borja",300 m² tot.,4 dorm.,"2,052,000.00","539,900.00"
Calle Merida - Frente a Parque Virgen Maria de las Mercedes,"Santiago de Surco, Lima",174 m² tot.,2 dorm.,"1,134,600.00","300,000.00"
Jr. Los Amancaes al 200,"Las Casuarinas Sur, Santiago de Surco",121 m² tot.,3 dorm.,"595,920.00","156,000.00"
Calle Sanzio al 100,"La Calera De La Merced, Surquillo",63 m² tot.,2 dorm.,"359,100.00","94,500.00"
Calle Gerbolini 185,"El Rosal, Miraflores",239 m² tot.,3 dorm.,"2,040,772.00","540,000.00"
Pietro Torrigiano,"San Borja, Lima",110 m² tot.,3 dorm.,"653,450.00","175,000.00"
Las Fresias al 200,"Camacho, La Molina",1037 m² tot.,7 dorm.,"3,728,817.00","980,000.00"
Jr. Granada,"Pueblo Libre, Lima",71 m² tot.,3 dorm.,"483,446.00","130,661.08"
Santa Isabel,"Miraflores, Lima",448 m² tot.,4 dorm.,"4,051,510.00","106,900.00"
Paul Harris con Salida a Parque Privado,"San Isidro, Lima",432 m² tot.,3 dorm.,"6,623,000.00","1,790,000.00"
San Miguel,"San Miguel, Lima",80 m² tot.,3 dorm.,"360,000.00","95,000.00"
Isabel La Catolica 167,"La Victoria, Lima",302 m² tot.,5 dorm.,"391,650.00","105,000.00"
Conde de la Vega al 200,"Chacarilla Del Estanque, Santiago de Surco",160 m² tot.,3 dorm.,"1,393,650.00","380,000.00"
Jr Sinchi Roca 7230,"El Trébol, Los Olivos",113 m² tot.,3 dorm.,"452,200.00","119,000.00"
"Andreas Vesalio 5000, San Borja Sur","San Borja, Lima",429 m² tot.,5 dorm.,"3,016,000.00","800,000.00"
Calle Gomez Sanchez Cdra. 1 Urb. LA Aurora,"Miraflores, Lima",507 m² tot.,3 dorm.,"3,320,000.00","830,000.00"
Calle Renoir al 200,"San Borja, Lima",200 m² tot.,5 dorm.,"869,000.00","235,000.00"
CALLE LA PUNTA 300,"El Sol De La Molina Et.1, La Molina",500 m² tot.,4 dorm.,"3,610,000.00","950,000.00"
Calle Llano Zapata 1,"San Isidro, Lima",220 m² tot.,5 dorm.,"1,171,800.00","315,000.00"
"Casa en Condominio en Av. Lima, San Miguel Límite con Magdalena.","San Miguel, Lima",113 m² tot.,7 dorm.,"686,000.00","184,000.00"
AV. MANUEL OLGUIN 790,"El Derby, Santiago de Surco",102 m² tot.,2 dorm.,"658,600.00","178,000.00"
"Tampumachay, Tambo de Monterrico, Limite con Chacarilla","Tambo De Monterrico, Santiago de Surco",249 m² tot.,3 dorm.,"1,102,600.00","293,000.00"
Calle Juan Hoyle,"Maranga, San Miguel",70 m² tot.,2 dorm.,"277,000.00","75,000.00"
AV BOLIVAR 500,"Pueblo Libre, Lima",78 m² tot.,3 dorm.,"368,000.00","99,950.00"
las Flores al 400,"San Isidro, Lima",146 m² tot.,3 dorm.,"1,307,550.00","345,000.00"
ALBERTO BARAJAS 300,"Las Magnolias, San Borja",300 m² tot.,4 dorm.,"2,437,125.00","649,900.00"
Calle Salaverry 240 miraflores,"Miraflores, Lima",140 m² tot.,4 dorm.,"888,000.00","240,000.00"
"El Dorado, Chacarilla del Estanque","Santiago de Surco, Lima",136 m² tot.,3 dorm.,"1,194,664.00","310,000.00"
Av. Mayor Arce de Oliva 280,"Aurora, Miraflores",336 m² tot.,4 dorm.,"2,907,000.00","765,000.00"
"Av. el Polo 252, Surco","Santiago de Surco, Lima",400 m² tot.,5 dorm.,"3,912,770.00","1,049,000.00"
AV JOSE PARDO 1173 MIRAFLORES,"Miraflores, Lima",88 m² tot.,2 dorm.,"647,500.00","175,000.00"
parque 200 millas,"San Miguel, Lima",192 m² tot.,4 dorm.,"1,206,720.00","320,000.00"
PARQUE CAVERO - JR LA NIÑA CDRA 2,"Chacarilla Del Estanque, Santiago de Surco",331 m² tot.,3 dorm.,"1,790,000.00","489,000.00"
Frederic Chopin 3xx,"Alamos De Monterrico, Santiago de Surco",152 m² tot.,3 dorm.,"958,300.00","259,000.00"
Loma Rica 200,"Prolongacion Benavides, Santiago de Surco",329 m² tot.,4 dorm.,"1,995,000.00","525,000.00"
Melitón Porras al 100,"Miraflores, Lima",470 m² tot.,4 dorm.,"4,312,500.00","1,150,000.00"
Urb. Pachacamac 3ra Etapa MzAlt3 Villa Salvador,"Pachacamac, Villa el Salvador",100 m² tot.,4 dorm.,"504,560.00","136,000.00"
"Las Magnolias, Camacho","La Molina, Lima",1000 m² tot.,4 dorm.,"4,836,000.00","1,300,000.00"
Jr. Trujillo,"Magdalena, Lima",376 m² tot.,4 dorm.,"3,310,800.00","890,000.00"
Av El Sol Este al 100,"Barranco, Lima",38 m² tot.,1 dorm.,"444,000.00","120,000.00"
La Planicie,"La Molina, Lima",900 m² tot.,4 dorm.,"3,287,000.00","890,000.00"
Joaquin Valverde 200,"San Borja, Lima",126 m² tot.,3 dorm.,"734,810.00","197,000.00"
Av. José Pardo al 935,"Miraflores, Lima",100 m² tot.,4 dorm.,"869,090.00","233,000.00"
NATALIO SANCHEZ 287,"Jesús María, Lima",57 m² tot.,2 dorm.,"391,400.00","103,000.00"
SAN BORJA,"San Borja Norte, San Borja",300 m² tot.,5 dorm.,"2,500,000.00","658,900.00"
Frente al Exclusivo Parque Cerrado La Pradera con Vista Panorámica,"Chacarilla, San Borja",345 m² tot.,3 dorm.,"1,846,350.00","495,000.00"
AV 2 DE MAYO,"Country Club, San Isidro",140 m² tot.,3 dorm.,"1,160,000.00","307,000.00"
CALLE LOS PINOS,"San Isidro, Lima",41 m² tot.,1 dorm.,"521,000.00","140,810.81"
Wiese 1281,"Santiago de Surco, Lima",89 m² tot.,3 dorm.,"700,000.00","189,189.19"
Aster,"Santiago de Surco, Lima",380 m² tot.,5 dorm.,"2,157,000.00","575,000.00"
guillermo biela,"San Martín de Porres, Lima",197 m² tot.,3 dorm.,"513,360.00","138,000.00"
JIRON GALEANO,"Santiago de Surco, Lima",430 m² tot.,6 dorm.,"3,116,000.00","820,000.00"
Huiracocha 2083,"Jesús María, Lima",81 m² tot.,3 dorm.,"555,000.00","150,000.00"
Pezet,"San Isidro, Lima",441 m² tot.,5 dorm.,"2,950,000.00","800,000.00"
Avenida Del Ejército 591 Miraflores.,"Miraflores, Lima",460 m² tot.,12 dorm.,"3,750,000.00","1,000,000.00"
condominio la quebrada de cieneguilla,"Cieneguilla, Cieneguilla",2492 m² tot.,8 dorm.,"8,625,750.00","2,325,000.00"
Calle Arcos de la Frontera 2,"Camacho, La Molina",990 m² tot.,4 dorm.,"4,995,000.00","1,350,000.00"
C. la arboleda,"Santiago de Surco, Lima",332 m² tot.,4 dorm.,"2,566,800.00","690,000.00"
Calle Piura al 309,"Miraflores, Lima",122 m² tot.,2 dorm.,"855,228.00","229,900.00"
Los Eucaliptos,"San Isidro, Lima",254 m² tot.,3 dorm.,"3,523,200.00","960,000.00"
JR. HUARAZ 1893,"Breña, Lima",96 m² tot.,2 dorm.,"366,300.00","99,000.00"
JR Jose Galvez 972,"Santa Beatriz, Lima Cercado",483 m² tot.,15 dorm.,"2,261,000.00","595,000.00"
Av. del Pinar 451,"Chacarilla Del Estanque, San Borja",243 m² tot.,4 dorm.,"1,200,000.00","320,000.00"
Calle J asociacion Pro-vivienda los incas Mz.S Lt. 14 URB. pro-vivienda los incas,"Los Incas, Chorrillos",160 m² tot.,4 dorm.,"450,000.00","130,000.00"
A una Cuadra del Parque Cesar Vallejo - Chacarilla del Estanque,"Chacarilla Del Estanque, Santiago de Surco",111 m² tot.,3 dorm.,"828,000.00","218,000.00"
Departamento de Estreno en Calle Los Flamencos San Isidro,"San Isidro, Lima",108 m² tot.,3 dorm.,"841,500.00","225,000.00"
Malecón de la Marina,"Miraflores, Lima",230 m² tot.,3 dorm.,"2,895,360.00","768,000.00"
VIÑA DEL MAR 2,"La Molina, Lima",255 m² tot.,3 dorm.,"4,642,760.00","1,254,800.00"
juan de rada 140,"Liguria, Santiago de Surco",185 m² tot.,3 dorm.,"932,000.00","250,000.00"
"Mariscal Agustín Gamarra 247, San Miguel","San Miguel, Lima",76 m² tot.,3 dorm.,"294,000.00","78,900.00"
PEDRO DE OSMA 305,"Barranco, Lima",38 m² tot.,1 dorm.,"400,000.00","107,000.00"
Moore 151,"Magdalena, Lima",92 m² tot.,3 dorm.,"490,000.00","131,000.00"
"Calle Tripoli, Miraflores","Miraflores, Lima",186 m² tot.,3 dorm.,"1,618,200.00","435,000.00"
CALLE CARLOS MONGE MEDRANO 100,"Huertos De San Antonio, Santiago de Surco",300 m² tot.,3 dorm.,"2,051,500.00","550,000.00"
Flat de 2 Dormitorios en Gral Mendiburu - a 3 Cuadras del Malecón Deposito Y Cochera,"Miraflores, Lima",83 m² tot.,2 dorm.,"603,600.00","162,000.00"
Roca y Boloña 1036,"Aurora, Miraflores",468 m² tot.,4 dorm.,"3,562,500.00","950,000.00"
JIRON BATALLA DE JUNIN,"Barranco, Lima",218 m² tot.,3 dorm.,"1,827,000.00","490,000.00"
CALLE MANCO CAPAC,"Miraflores, Lima",114 m² tot.,3 dorm.,"740,000.00","200,000.00"
Octavio Espinoza,"San Isidro, Lima",464 m² tot.,4 dorm.,"5,344,180.00","1,399,000.00"
ENRIQUE SALAZAR BARRETO 549,"Vista Alegre, Santiago de Surco",275 m² tot.,4 dorm.,"1,624,300.00","439,000.00"
Av. Higuereta al 300,"Santiago de Surco, Lima",119 m² tot.,3 dorm.,"677,290.00","178,000.00"
CALLE KONTIKI 128,"El Sol De La Molina Et.3, La Molina",623 m² tot.,6 dorm.,"2,188,900.00","590,000.00"
Calle Van Gogh,"San Borja Sur, San Borja",256 m² tot.,4 dorm.,"933,500.00","250,000.00"
Jr. Ricardo Aicardi 120,"Chama, Santiago de Surco",112 m² tot.,3 dorm.,"706,880.00","188,000.00"
la Casuarina 174,"Surquillo, Lima",103 m² tot.,3 dorm.,"680,000.00","179,000.00"
Malecón de la Marina,"Miraflores, Lima",188 m² tot.,3 dorm.,"2,094,200.00","566,000.00"
Av CIRCUNVALACIÓN GOLF INCAS 5,"Club Golf Los Incas, Santiago de Surco",150 m² tot.,3 dorm.,"980,500.00","265,000.00"
jr cuzco,"Magdalena, Lima",75 m² tot.,3 dorm.,"511,000.00","134,000.00"
jr Pietro Torrigiano,"Corpac, San Borja",230 m² tot.,4 dorm.,"1,092,000.00","289,000.00"
Av. Pacífico N°.175 San Miguel,"San Miguel, Lima",83 m² tot.,3 dorm.,"365,250.00","98,000.00"
"Av. Benavides , Surco","Santiago de Surco, Lima",300 m² tot.,5 dorm.,"3,543,200.00","860,000.00"
Calle Enrique Meiggs,"Miraflores, Lima",320 m² tot.,5 dorm.,"2,300,000.00","650,000.00"
Calle Río Mapocho al 100,"Las Praderas De La Molina, La Molina",112 m² tot.,3 dorm.,"365,750.00","95,000.00"
CERROS DE CAMACHO,"Cerros De Camacho, Santiago de Surco",225 m² tot.,4 dorm.,"1,887,000.00","510,000.00"
JHOHANESS BRAHMS 100,"San Borja Sur, San Borja",320 m² tot.,6 dorm.,"2,405,000.00","649,999.00"
Av. Alberto del Campo al 400,"Orrantia Del Mar, Magdalena",78 m² tot.,2 dorm.,"570,000.00","150,000.00"
Avenida Arnaldo Marquez 2086,"Jesús María, Lima",110 m² tot.,3 dorm.,"680,000.00","182,000.00"
Los Cedros 1240,"Chaclacayo, Lima",1326 m² tot.,3 dorm.,"1,953,600.00","528,000.00"
Calle José Gomez 395 San Isidro,"San Isidro, Lima",365 m² tot.,4 dorm.,"2,900,000.00","780,000.00"
Calle José Gálvez San Miguel,"San Miguel, Lima",215 m² tot.,5 dorm.,"1,339,200.00","360,000.00"
LA Floresta al 200,"San Borja, Lima",316 m² tot.,3 dorm.,"3,553,000.00","950,000.00"
Calle Pietro Marchand Cuadra 3,"San Borja, Lima",180 m² tot.,4 dorm.,"1,347,500.00","350,000.00"
Jose Corso 100,"Santiago de Surco, Lima",120 m² tot.,4 dorm.,"704,970.00","189,000.00"
Daniel Carrión,"Magdalena, Lima",107 m² tot.,3 dorm.,"796,080.00","214,000.00"
AV COMANDANTE ESPINAR 435 MIRAFLORES,"Miraflores, Lima",116 m² tot.,4 dorm.,"783,300.00","210,000.00"
marchand 377,"San Borja Sur, San Borja",90 m² tot.,3 dorm.,"856,900.00","228,500.00"
Pomalca 250,"Santiago de Surco, Lima",300 m² tot.,3 dorm.,"2,035,000.00","549,000.00"
Calle Las Tortolas 200,"La Pradera, La Molina",1031 m² tot.,4 dorm.,"6,639,400.00","1,780,000.00"
Av. Casuarinas S/N,"Santiago de Surco, Lima",315 m² tot.,4 dorm.,"2,020,000.00","549,000.00"
Malecon,"Barranco, Lima",318 m² tot.,3 dorm.,"2,582,000.00","760,000.00"
Parque Armendariz 159,"Miraflores, Lima",229 m² tot.,3 dorm.,"3,414,834.00","900,000.00"
"Ubicación Estratégica - Ideal Para Parejas o Familias con Hijos, Mar de Java","Santiago de Surco, Lima",86 m² tot.,2 dorm.,"475,000.00","119,000.00"
la planicie,"La Molina, Lima",1015 m² tot.,4 dorm.,"5,655,000.00","1,290,000.00"
Avenida Bertolotto 352 San Miguel,"San Miguel, San Miguel",60 m² tot.,2 dorm.,"361,000.00","95,000.00"
Av. de los Precursores Cuadra 10,"San Miguel, Lima",103 m² tot.,3 dorm.,"667,500.00","178,000.00"
CHACRA Y MAR-AUCALLAMA- CHANCAY-HUARAL,"Chacra Y Mar, Aucallama",13000 m² tot.,5 dorm.,"4,810,000.00","1,300,000.00"
Calle 16 al 100,"San Miguel, Lima",67 m² tot.,2 dorm.,"334,400.00","88,000.00"
Mariano Necochea 369,"Ampliacion San Francisco De La Tablada D Lurin, Villa María del Triunfo",514 m² tot.,5 dorm.,"1,123,950.00","295,000.00"
CERCA HOSPITAL REBAGLIATI y AV.ARENALES,"Lobaton, Lince",153 m² tot.,3 dorm.,"1,182,000.00","318,000.00"
Ocasión! A 5 Minutos DE Jockey Plaza Y Universidad DE Lima,"Monterrico, Santiago de Surco",630 m² tot.,5 dorm.,"2,940,000.00","785,000.00"
