direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
"Jirón Domingo Casanova 151, Lince","Lince, Lima",40 a 79 m² tot.,1 a 3 dorm.,"339,000.00","91,621.62"
Av. Javier Prado Este 294,"Santiago de Surco, Lima",89 a 203 m² tot.,2 a 3 dorm.,"709,467.00","191,747.84"
Avenida Javier Prado Oeste 430 - 470,"San Isidro, Lima",27 a 100 m² tot.,1 a 3 dorm.,"283,978.00","76,750.81"
"Calle General La Fuente 281, San Isidro","San Isidro, Lima",83 a 219 m² tot.,1 a 3 dorm.,"926,060.00","243,700.00"
Jirón Batallón Callao Norte 173,"Santa Teresa, Santiago de Surco",106 a 154 m² tot.,3 dorm.,"855,711.00","231,273.24"
Av. Andrés Aramburú 668,"Surquillo, Lima",37 a 80 m² tot.,1 a 3 dorm.,"294,000.00","79,459.46"
Jr. Morro Solar 133,"Santiago de Surco, Lima",51 a 77 m² tot.,2 a 3 dorm.,"412,028.00","111,358.92"
Av El Ejercito 741,"Miraflores, Lima",60 a 142 m² tot.,1 a 3 dorm.,"489,000.00","132,162.16"
"Av. Cesar Vallejo 1445, Lince, Lima","Risso, Lince",57 a 132 m² tot.,1 a 3 dorm.,"524,000.00","141,621.62"
Calle plaza Padre Constancio Bollar 205,"San Isidro, Lima",56 a 227 m² tot.,1 a 4 dorm.,"440,000.00","118,918.92"
Calle Rosario 240 Miraflores,"Santa Cruz, Miraflores",61 a 172 m² tot.,1 a 3 dorm.,"612,150.00","151,050.00"
Santa Isabel 147,"Miraflores, Lima",80 a 286 m² tot.,1 a 3 dorm.,"770,000.00","200,000.00"
Joaquin Bernal 708 esquina con Francisco de Zela,"Risso, Lince",49 a 147 m² tot.,1 a 3 dorm.,"397,788.00","107,510.27"
Casuarinas - Excelente vista a la ciudad,"Las Casuarinas, Santiago de Surco",1140 m² tot.,4 dorm.,"6,660,000.00","1,800,000.00"
Av. Lima Polo al 200,"Lima Polo Hunt Club, Santiago de Surco",132 m² tot.,3 dorm.,"752,400.00","198,000.00"
Av velasco astete 541,"Chacarilla, San Borja",327 m² tot.,4 dorm.,"2,053,755.00","540,000.00"
Av Jose Pardo al 1300,"Miraflores, Lima",113 m² tot.,3 dorm.,"900,000.00","240,000.00"
Jiron Grau al 600,"Magdalena, Lima",75 m² tot.,3 dorm.,"312,000.00","83,000.00"
La Cumbre,"Santiago de Surco, Lima",1000 m² tot.,4 dorm.,"3,537,900.00","950,000.00"
Tacna 380,"Magdalena, Lima",50 m² tot.,1 dorm.,"305,000.00","82,000.00"
Amarillis 100,"El Polo, Santiago de Surco",220 m² tot.,3 dorm.,"1,328,300.00","359,000.00"
SAN BORJA,"San Borja Norte, San Borja",486 m² tot.,5 dorm.,"2,553,000.00","690,000.00"
"Av. Encalada cuadra 13 esquina con Aldebarán Surco, Lima","Santiago de Surco, Lima",83 a 125 m² tot.,3 dorm.,"668,885.00","180,779.73"
"Av. San Felipe 720, Jesús Maria","Jesús María, Lima",46 a 89 m² tot.,1 a 3 dorm.,"364,000.00","131,000.00"
Av. Aflredo Benavides 2543,"Los Tulipanes, Miraflores",73 a 224 m² tot.,1 a 2 dorm.,"530,399.00","143,351.08"
Av. Andrés Aramburú 962,"Surquillo, Lima",51 a 69 m² tot.,2 a 3 dorm.,"394,290.00","106,564.86"
Av. Paseo de la República N° 4117,"Limatambo, Surquillo",39 a 78 m² tot.,1 a 3 dorm.,"316,428.00","85,521.08"
Av. Reducto 1505,"Miraflores, Lima",60 a 114 m² tot.,2 a 3 dorm.,"565,600.00","152,864.86"
Av. Rafael Escardo Aguirre N° 530,"Maranga Etapa Vii, San Miguel",46 a 98 m² tot.,1 a 3 dorm.,"329,000.00","88,918.92"
Av. Pardo 1051,"Miraflores, Lima",80 a 115 m² tot.,3 dorm.,"653,000.00","176,486.49"
Av. Paseo de la República N° 6334 - 6338,"San Antonio, Miraflores",41 a 73 m² tot.,1 a 2 dorm.,"340,710.00","92,083.78"
